chromosome	type	id	strand	orf.start	orf.end	utr3.start	utr3.end	utr5.start	utr5.end
chrI	gene	YAR019W-A	+	174998	175330	175331	175465	174863	174997
chrI	gene	YAR027W	+	183770	184477	184478	184727	183761	183769
chrI	gene	YAR028W	+	184892	185596	185597	185793	184805	184891
chrI	gene	YAR029W	+	186321	186545	186546	186680	185705	186320
chrI	gene	YAR031W	+	186836	187732	187733	187867	186701	186835
chrI	gene	YAR033W	+	188107	188811	188812	188946	187972	188106
chrI	gene	YAR035W	+	190193	192256	192257	192391	190058	190192
chrI	gene	YAR042W	+	192619	196185	196186	196350	192525	192618
chrI	gene	YAR050W	+	203403	208016	208017	208151	203268	203402
chrI	gene	YAR053W	+	208367	208663	208664	208798	208232	208366
chrI	gene	YAR064W	+	220198	220497	220498	220632	220063	220197
chrI	gene	YAR066W	+	221049	221660	221661	221795	220914	221048
chrI	gene	YAR068W	+	222406	222891	222892	223026	222271	222405
chrI	gene	YAR073W	+	227742	228953	228954	229088	227607	227741
chrI	gene	YAR075W	+	228844	229317	229318	229452	228709	228843
chrII	gene	YBL002W	+	236492	236887	236888	237561	236443	236491
chrII	gene	YBL004W	+	227636	235117	235118	235221	227545	227635
chrII	gene	YBL005W	+	217470	220400	220401	221063	217146	217469
chrII	gene	YBL006W-A	+	216711	216860	216861	217145	216576	216710
chrII	gene	YBL008W	+	209653	212175	212176	212210	209588	209652
chrII	gene	YBL008W-A	+	209409	209648	209649	209783	209274	209408
chrII	gene	YBL009W	+	207194	209224	209225	209346	207160	207193
chrII	gene	YBL011W	+	203538	205817	205818	206023	202918	203537
chrII	gene	YBL013W	+	202056	203261	203262	203396	201921	202055
chrII	gene	YBL015W	+	194122	195702	195703	196221	193977	194121
chrII	gene	YBL016W	+	192451	193512	193513	193768	192225	192450
chrII	gene	YBL019W	+	184353	185915	185916	186536	184218	184352
chrII	gene	YBL020W	+	182401	184125	184126	184203	182243	182400
chrII	gene	YBL024W	+	172534	174588	174589	174704	172422	172533
chrII	gene	YBL025W	+	171481	171918	171919	171992	171356	171480
chrII	gene	YBL026W	+	170623	171038	171039	171279	170230	170622
chrII	gene	YBL027W	+	168423	169376	169377	169467	168388	168422
chrII	gene	YBL029W	+	166134	167264	167265	167881	165840	166133
chrII	gene	YBL031W	+	161699	162715	162716	162941	161660	161698
chrII	gene	YBL032W	+	160184	161329	161330	161517	160035	160183
chrII	gene	YBL037W	+	147209	150286	150287	150427	147028	147208
chrII	gene	YBL038W	+	146187	146885	146886	146993	146138	146186
chrII	gene	YBL039W-B	+	143393	143572	143573	143689	142726	143392
chrII	gene	YBL041W	+	141247	141972	141973	142020	141205	141246
chrII	gene	YBL043W	+	136688	137461	137462	137684	136554	136687
chrII	gene	YBL044W	+	135998	136366	136367	136501	135863	135997
chrII	gene	YBL046W	+	132424	133749	133750	134063	132293	132423
chrII	gene	YBL048W	+	127299	127610	127611	128375	127164	127298
chrII	gene	YBL049W	+	126828	127244	127245	127792	126133	126827
chrII	gene	YBL050W	+	125125	126119	126120	126182	125047	125124
chrII	gene	YBL053W	+	119335	119709	119710	119844	119326	119334
chrII	gene	YBL054W	+	117589	119166	119167	119361	117488	117588
chrII	gene	YBL056W	+	113762	115168	115169	115562	113620	113761
chrII	gene	YBL058W	+	111437	112708	112709	112826	111406	111436
chrII	gene	YBL059W	+	110594	111244	111245	111289	110567	110593
chrII	gene	YBL060W	+	107932	109995	109996	110041	107872	107931
chrII	gene	YBL062W	+	105308	105688	105689	105823	105240	105307
chrII	gene	YBL063W	+	101886	105221	105222	105239	101880	101885
chrII	gene	YBL065W	+	99963	100307	100308	100442	99828	99962
chrII	gene	YBL068W	+	92414	93394	93395	93478	92360	92413
chrII	gene	YBL068W-A	+	91794	92030	92031	92162	91659	91793
chrII	gene	YBL069W	+	90741	92030	92031	92162	90684	90740
chrII	gene	YBL071W-A	+	89978	90226	90227	90474	89938	89977
chrII	gene	YBL073W	+	87646	87957	87958	88092	87511	87645
chrII	gene	YBL079W	+	75259	79767	79768	80047	75200	75258
chrII	gene	YBL081W	+	71866	72972	72973	73031	71558	71865
chrII	gene	YBL085W	+	63876	66818	66819	66908	63533	63875
chrII	gene	YBL089W	+	49574	50953	50954	51002	49445	49573
chrII	gene	YBL090W	+	48825	49358	49359	49478	48645	48824
chrII	gene	YBL092W	+	45645	46370	46371	46464	45545	45644
chrII	gene	YBL095W	+	43277	44089	44090	44209	43271	43276
chrII	gene	YBL097W	+	40831	43095	43096	43270	40751	40830
chrII	gene	YBL098W	+	39145	40527	40528	40651	39123	39144
chrII	gene	YBL099W	+	37053	38690	38691	38957	36628	37052
chrII	gene	YBL100W-C	+	28427	28546	28547	29021	28292	28426
chrII	gene	YBL102W	+	24098	24745	24746	24894	23913	24097
chrII	gene	YBL107W-A	+	9268	9372	9373	9507	9133	9267
chrII	gene	YBL108W	+	8177	8482	8483	8851	8042	8176
chrII	gene	YBL109W	+	5790	6125	6126	6260	5655	5789
chrII	gene	YBL113W-A	+	646	1128	1129	1263	511	645
chrII	gene	YBR003W	+	242809	244230	244231	244360	242786	242808
chrII	gene	YBR005W	+	245906	246547	246548	246773	245825	245905
chrII	gene	YBR006W	+	247010	248503	248504	248622	246890	247009
chrII	gene	YBR010W	+	256331	256741	256742	257164	256185	256330
chrII	gene	YBR016W	+	270247	270633	270634	271071	270209	270246
chrII	gene	YBR020W	+	279021	280607	280608	280749	278886	279020
chrII	gene	YBR021W	+	281443	283344	283345	283687	281248	281442
chrII	gene	YBR022W	+	283738	284271	284272	284807	283653	283737
chrII	gene	YBR024W	+	289445	290350	290351	290567	289334	289444
chrII	gene	YBR030W	+	298292	299950	299951	300065	298048	298291
chrII	gene	YBR031W	+	300166	301254	301255	301349	299997	300165
chrII	gene	YBR032W	+	301519	301821	301822	301956	301350	301518
chrII	gene	YBR033W	+	301944	304703	304704	304749	301350	301943
chrII	gene	YBR038W	+	311898	314789	314790	314977	311805	311897
chrII	gene	YBR039W	+	315575	316510	316511	316690	315441	315574
chrII	gene	YBR040W	+	316968	317864	317865	317999	316641	316967
chrII	gene	YBR041W	+	318266	320275	320276	320457	318198	318265
chrII	gene	YBR047W	+	331833	332360	332361	332441	331702	331832
chrII	gene	YBR048W	+	332831	333812	333813	334022	332746	332830
chrII	gene	YBR051W	+	337988	338338	338339	338421	337853	337987
chrII	gene	YBR054W	+	343101	344135	344136	344571	342572	343100
chrII	gene	YBR056W	+	347879	349384	349385	349426	347727	347878
chrII	gene	YBR056W-A	+	351255	351455	351456	351901	351072	351254
chrII	gene	YBR064W	+	367763	368191	368192	368326	367628	367762
chrII	gene	YBR071W	+	380411	381046	381047	381308	380297	380410
chrII	gene	YBR072W	+	382030	382674	382675	383074	381957	382029
chrII	gene	YBR074W	+	386286	389216	389217	389314	386216	386285
chrII	gene	YBR078W	+	393123	394742	394743	395369	392889	393122
chrII	gene	YBR083W	+	409169	410629	410630	410823	409014	409168
chrII	gene	YBR084W	+	411054	413981	413982	414143	410935	411053
chrII	gene	YBR085W	+	415983	416906	416907	417074	415883	415982
chrII	gene	YBR087W	+	423765	424829	424830	424881	423752	423764
chrII	gene	YBR089W	+	425183	425782	425783	426051	425048	425182
chrII	gene	YBR094W	+	432036	434297	434298	434388	431980	432035
chrII	gene	YBR096W	+	436021	436713	436714	436783	435937	436020
chrII	gene	YBR097W	+	436951	441315	441316	441390	436912	436950
chrII	gene	YBR098W	+	441515	443590	443591	444191	441429	441514
chrII	gene	YBR103W	+	447709	449316	449317	449421	447481	447708
chrII	gene	YBR104W	+	449667	450656	450657	450766	449587	449666
chrII	gene	YBR106W	+	452658	453224	453225	453367	452588	452657
chrII	gene	YBR108W	+	454822	457665	457666	457809	454763	454821
chrII	gene	YBR110W	+	458872	460221	460222	460371	458698	458871
chrII	gene	YBR111W-A	+	462139	462579	462580	462738	461854	462138
chrII	gene	YBR113W	+	465566	466048	466049	466183	465431	465565
chrII	gene	YBR114W	+	467248	469620	469621	469676	467157	467247
chrII	gene	YBR118W	+	477671	479047	479048	479135	477434	477670
chrII	gene	YBR119W	+	479338	480323	480324	481015	479015	479337
chrII	gene	YBR124W	+	486507	486866	486867	487001	486372	486506
chrII	gene	YBR126W-A	+	490850	491056	491057	491227	490468	490849
chrII	gene	YBR126W-B	+	490927	491070	491071	491227	490468	490926
chrII	gene	YBR131W	+	497163	499277	499278	499480	497131	497162
chrII	gene	YBR134W	+	504243	504644	504645	504779	504108	504242
chrII	gene	YBR135W	+	504854	505306	505307	505520	504744	504853
chrII	gene	YBR136W	+	505668	512774	512775	512975	505533	505667
chrII	gene	YBR137W	+	513044	513583	513584	513720	512826	513043
chrII	gene	YBR139W	+	515664	517190	517191	517361	515631	515663
chrII	gene	YBR141W-A	+	527167	527262	527263	527397	527032	527166
chrII	gene	YBR142W	+	528317	530638	530639	530783	528253	528316
chrII	gene	YBR145W	+	533762	534817	534818	534971	533639	533761
chrII	gene	YBR146W	+	535260	536096	536097	536300	535189	535259
chrII	gene	YBR147W	+	536575	537465	537466	537492	536249	536574
chrII	gene	YBR148W	+	537876	539705	539706	539942	537449	537875
chrII	gene	YBR149W	+	539987	541021	541022	541222	539943	539986
chrII	gene	YBR151W	+	545028	545978	545979	546217	544876	545027
chrII	gene	YBR152W	+	546376	547251	547252	547386	546318	546375
chrII	gene	YBR153W	+	547460	548194	548195	548533	547407	547459
chrII	gene	YBR155W	+	549771	550928	550929	551008	549722	549770
chrII	gene	YBR158W	+	556549	558198	558199	558593	556221	556548
chrII	gene	YBR159W	+	558685	559728	559729	559816	558545	558684
chrII	gene	YBR160W	+	560078	560974	560975	561070	559724	560077
chrII	gene	YBR161W	+	561634	562764	562765	563080	561499	561633
chrII	gene	YBR162W-A	+	565231	565428	565429	565525	565119	565230
chrII	gene	YBR163W	+	565723	567480	567481	567765	565586	565722
chrII	gene	YBR165W	+	568852	569685	569686	569731	568677	568851
chrII	gene	YBR168W	+	572371	573612	573613	573766	572236	572370
chrII	gene	YBR171W	+	578364	578984	578985	579111	578294	578363
chrII	gene	YBR175W	+	582408	583355	583356	583415	582252	582407
chrII	gene	YBR176W	+	583720	584658	584659	584804	583626	583719
chrII	gene	YBR178W	+	586071	586445	586446	586580	585936	586070
chrII	gene	YBR180W	+	589741	591459	591460	591594	589606	589740
chrII	gene	YBR183W	+	596115	597065	597066	597258	595781	596114
chrII	gene	YBR184W	+	597363	598934	598935	599045	597228	597362
chrII	gene	YBR186W	+	600553	602360	602361	602523	600418	600552
chrII	gene	YBR187W	+	602634	603476	603477	603566	602520	602633
chrII	gene	YBR189W	+	604508	605508	605509	605676	604363	604507
chrII	gene	YBR191W	+	606270	607140	607141	607326	606181	606269
chrII	gene	YBR191W-A	+	607149	607223	607224	607326	607014	607148
chrII	gene	YBR192W	+	607652	608785	608786	609057	607463	607651
chrII	gene	YBR194W	+	610038	610409	610410	610569	609843	610037
chrII	gene	YBR199W	+	618909	620303	620304	620547	618816	618908
chrII	gene	YBR200W	+	620872	622527	622528	622752	620777	620871
chrII	gene	YBR200W-A	+	622983	623147	623148	623282	622848	622982
chrII	gene	YBR201W	+	623576	624211	624212	624337	623438	623575
chrII	gene	YBR202W	+	625772	628309	628310	628569	625696	625771
chrII	gene	YBR203W	+	629168	631942	631943	632041	628682	629167
chrII	gene	YBR205W	+	633622	634836	634837	634881	633562	633621
chrII	gene	YBR206W	+	634601	634924	634925	635016	634466	634600
chrII	gene	YBR207W	+	635146	636543	636544	636662	634882	635145
chrII	gene	YBR209W	+	642583	642900	642901	643035	642262	642582
chrII	gene	YBR210W	+	645550	645978	645979	646194	645257	645549
chrII	gene	YBR212W	+	647886	649904	649905	650114	647450	647885
chrII	gene	YBR213W	+	650368	651192	651193	651341	650262	650367
chrII	gene	YBR214W	+	651415	652998	652999	653178	651331	651414
chrII	gene	YBR215W	+	653356	655317	655318	655435	653122	653355
chrII	gene	YBR217W	+	657832	658392	658393	658699	657756	657831
chrII	gene	YBR221W-A	+	666538	666642	666643	666978	666517	666537
chrII	gene	YBR223W-A	+	668721	668840	668841	668975	668359	668720
chrII	gene	YBR224W	+	670125	670640	670641	670775	669990	670124
chrII	gene	YBR225W	+	670627	673329	673330	673464	670505	670626
chrII	gene	YBR228W	+	675313	676227	676228	676341	675260	675312
chrII	gene	YBR230W-A	+	680362	680562	680563	680696	680196	680361
chrII	gene	YBR233W	+	683428	684669	684670	684886	683322	683427
chrII	gene	YBR233W-A	+	684977	685261	685262	685497	684913	684976
chrII	gene	YBR235W	+	686901	690263	690264	690361	686726	686900
chrII	gene	YBR237W	+	691969	694518	694519	694624	691889	691968
chrII	gene	YBR242W	+	704670	705386	705387	705447	704468	704669
chrII	gene	YBR244W	+	707528	708016	708017	708138	707322	707527
chrII	gene	YBR246W	+	711591	712754	712755	712848	711554	711590
chrII	gene	YBR250W	+	719033	720604	720605	720739	718898	719032
chrII	gene	YBR251W	+	721390	722313	722314	722393	721266	721389
chrII	gene	YBR252W	+	722611	723054	723055	723118	722597	722610
chrII	gene	YBR253W	+	723270	723635	723636	724280	723223	723269
chrII	gene	YBR255W	+	724456	726540	726541	726679	724420	724455
chrII	gene	YBR257W	+	728885	729724	729725	729866	728661	728884
chrII	gene	YBR259W	+	730387	732453	732454	732596	730250	730386
chrII	gene	YBR263W	+	736264	737736	737737	737871	736171	736263
chrII	gene	YBR265W	+	738582	739544	739545	739680	738527	738581
chrII	gene	YBR267W	+	739841	741022	741023	741143	739816	739840
chrII	gene	YBR268W	+	741299	741616	741617	741751	741222	741298
chrII	gene	YBR271W	+	744852	746111	746112	746207	744838	744851
chrII	gene	YBR274W	+	749594	751177	751178	751371	749544	749593
chrII	gene	YBR278W	+	760294	760899	760900	761048	760159	760293
chrII	gene	YBR279W	+	761257	762594	762595	762739	761213	761256
chrII	gene	YBR282W	+	768240	768680	768681	768867	768128	768239
chrII	gene	YBR284W	+	771239	773632	773633	773843	771104	771238
chrII	gene	YBR285W	+	773922	774356	774357	774569	773844	773921
chrII	gene	YBR286W	+	774700	776313	776314	776363	774628	774699
chrII	gene	YBR287W	+	776571	777854	777855	777907	776348	776570
chrII	gene	YBR289W	+	779667	782384	782385	782436	779614	779666
chrII	gene	YBR290W	+	782591	783556	783557	783658	782552	782590
chrII	gene	YBR293W	+	787006	788430	788431	788742	786516	787005
chrII	gene	YBR294W	+	789235	791814	791815	792077	788816	789234
chrII	gene	YBR295W	+	792849	796499	796500	796630	792783	792848
chrII	gene	YBR297W	+	800523	801929	801930	802280	800469	800522
chrII	gene	YBR299W	+	805351	807105	807106	807240	805216	805350
chrII	gene	YBR301W	+	809057	809419	809420	809554	808922	809056
chrIII	gene	YCL001W	+	111916	112482	112483	112670	111822	111915
chrIII	gene	YCL001W-A	+	113080	113541	113542	114228	112757	113079
chrIII	gene	YCL001W-B	+	113770	114024	114025	114228	113635	113769
chrIII	gene	YCL004W	+	109105	110670	110671	110709	109025	109104
chrIII	gene	YCL005W	+	108021	108791	108792	108906	107522	108020
chrIII	gene	YCL005W-A	+	107023	107417	107418	107521	106888	107022
chrIII	gene	YCL014W	+	96281	101191	101192	101916	96196	96280
chrIII	gene	YCL018W	+	91324	92418	92419	92553	91189	91323
chrIII	gene	YCL021W-A	+	83620	83997	83998	84092	83038	83619
chrIII	gene	YCL024W	+	79162	82275	82276	82375	78782	79161
chrIII	gene	YCL027W	+	71803	73341	73342	73421	71406	71802
chrIII	gene	YCL028W	+	70150	71367	71368	71418	70086	70149
chrIII	gene	YCL032W	+	63441	64481	64482	64678	63251	63440
chrIII	gene	YCL034W	+	61658	62722	62723	62895	61451	61657
chrIII	gene	YCL036W	+	59026	60726	60727	61254	58891	59025
chrIII	gene	YCL039W	+	52645	54882	54883	55017	52515	52644
chrIII	gene	YCL040W	+	50838	52340	52341	52520	50807	50837
chrIII	gene	YCL042W	+	50584	50943	50944	51806	50255	50583
chrIII	gene	YCL046W	+	46640	46963	46964	48086	46505	46639
chrIII	gene	YCL048W	+	42165	43556	43557	43723	41441	42164
chrIII	gene	YCL048W-A	+	41488	41727	41728	42091	41441	41487
chrIII	gene	YCL051W	+	35865	37616	37617	37786	35547	35864
chrIII	gene	YCL054W	+	31449	33974	33975	34094	31416	31448
chrIII	gene	YCL054W-A	+	30910	30996	30997	31131	30775	30909
chrIII	gene	YCL055W	+	27929	28936	28937	29114	27799	27928
chrIII	gene	YCL057W	+	24768	26906	26907	27033	24725	24767
chrIII	gene	YCL058W-A	+	23584	23925	23926	23991	23567	23583
chrIII	gene	YCL063W	+	17290	18561	18562	18716	16899	17289
chrIII	gene	YCL065W	+	13751	14119	14120	14254	13616	13750
chrIII	gene	YCL066W	+	13282	13809	13810	13944	13147	13281
chrIII	gene	YCL069W	+	9706	11082	11083	11217	9571	9705
chrIII	gene	YCL076W	+	1392	2135	2136	2270	1257	1391
chrIII	gene	YCR001W	+	115685	115999	116000	116226	115164	115684
chrIII	gene	YCR003W	+	118620	119171	119172	119454	118515	118619
chrIII	gene	YCR008W	+	128470	130281	130282	130699	127820	128469
chrIII	gene	YCR012W	+	137746	138996	138997	139165	137486	137745
chrIII	gene	YCR016W	+	143634	144506	144507	144658	143239	143633
chrIII	gene	YCR019W	+	152837	153928	153929	153938	152699	152836
chrIII	gene	YCR020W-B	+	155320	155556	155557	156337	155258	155319
chrIII	gene	YCR032W	+	179520	186023	186024	186156	179390	179519
chrIII	gene	YCR033W	+	186489	190169	190170	190310	186195	186488
chrIII	gene	YCR034W	+	190592	191635	191636	191804	190544	190591
chrIII	gene	YCR036W	+	193297	194298	194299	194382	193248	193296
chrIII	gene	YCR038W-A	+	199293	199418	199419	199553	199158	199292
chrIII	gene	YCR040W	+	200442	200969	200970	201104	200307	200441
chrIII	gene	YCR041W	+	200911	201243	201244	201378	200776	200910
chrIII	gene	YCR045W-A	+	208751	209101	209102	209878	208616	208750
chrIII	gene	YCR047W-A	+	211301	211507	211508	211769	211166	211300
chrIII	gene	YCR048W	+	211929	213761	213762	213944	211835	211928
chrIII	gene	YCR051W	+	214071	214739	214740	214891	213855	214070
chrIII	gene	YCR052W	+	214994	216445	216446	216656	214964	214993
chrIII	gene	YCR053W	+	216697	218241	218242	218329	216544	216696
chrIII	gene	YCR060W	+	224399	224734	224735	224858	224384	224398
chrIII	gene	YCR061W	+	225563	227458	227459	227860	225122	225562
chrIII	gene	YCR063W	+	228318	228791	228792	228926	228263	228317
chrIII	gene	YCR065W	+	229310	231004	231005	231403	229222	229309
chrIII	gene	YCR066W	+	231500	232963	232964	233127	231457	231499
chrIII	gene	YCR068W	+	237214	238776	238777	238921	236922	237213
chrIII	gene	YCR069W	+	239055	240011	240012	240131	238845	239054
chrIII	gene	YCR073W-A	+	246963	247910	247911	248024	246923	246962
chrIII	gene	YCR075W-A	+	248975	249202	249203	249300	248902	248974
chrIII	gene	YCR079W	+	252845	254173	254174	254304	252756	252844
chrIII	gene	YCR081W	+	254371	258654	258655	258847	254368	254370
chrIII	gene	YCR082W	+	258883	259269	259270	259498	258848	258882
chrIII	gene	YCR083W	+	259578	259961	259962	260079	259542	259577
chrIII	gene	YCR085W	+	262916	263269	263270	263404	262781	262915
chrIII	gene	YCR086W	+	263392	263964	263965	264483	263244	263391
chrIII	gene	YCR087W	+	263976	264491	264492	264626	263244	263975
chrIII	gene	YCR088W	+	265068	266846	266847	266957	264978	265067
chrIII	gene	YCR089W	+	267434	272263	272264	272857	266958	267433
chrIII	gene	YCR091W	+	274404	276566	276567	276971	274332	274403
chrIII	gene	YCR093W	+	280117	286443	286444	286550	280055	280116
chrIII	gene	YCR094W	+	286762	287937	287938	288010	286700	286761
chrIII	gene	YCR095W-A	+	289639	289797	289798	289932	289515	289638
chrIII	gene	YCR097W	+	293835	294321	294322	294370	293730	293834
chrIII	gene	YCR097W-A	+	294439	294705	294706	294840	294304	294438
chrIII	gene	YCR102W-A	+	306735	306932	306933	307067	306600	306734
chrIII	gene	YCR104W	+	307801	308175	308176	308618	307666	307800
chrIII	gene	YCR105W	+	309070	310155	310156	310187	308684	309069
chrIII	gene	YCR106W	+	310958	313456	313457	314244	310823	310957
chrIII	gene	YCR107W	+	313890	314981	314982	315116	313755	313889
chrIV	gene	YDL001W	+	447984	449276	449277	449527	447897	447983
chrIV	gene	YDL003W	+	444683	446383	446384	446511	444511	444682
chrIV	gene	YDL004W	+	443029	443511	443512	443787	442952	443028
chrIV	gene	YDL006W	+	439909	440754	440755	440885	439546	439908
chrIV	gene	YDL007W	+	438047	439360	439361	439493	437986	438046
chrIV	gene	YDL008W	+	433497	433994	433995	434107	433214	433496
chrIV	gene	YDL010W	+	432330	433025	433026	433282	432234	432329
chrIV	gene	YDL013W	+	429067	430926	430927	431011	428874	429066
chrIV	gene	YDL014W	+	427364	428347	428348	428793	427052	427363
chrIV	gene	YDL017W	+	424209	425732	425733	426188	424129	424208
chrIV	gene	YDL021W	+	413953	414888	414889	416086	413931	413952
chrIV	gene	YDL022W	+	411825	413000	413001	413122	411737	411824
chrIV	gene	YDL025W-A	+	405410	405514	405515	405649	405275	405409
chrIV	gene	YDL026W	+	404749	405060	405061	405195	404614	404748
chrIV	gene	YDL029W	+	399340	400638	400639	400781	399302	399339
chrIV	gene	YDL030W	+	397537	399129	399130	399219	397458	397536
chrIV	gene	YDL031W	+	394217	397204	397205	397395	394135	394216
chrIV	gene	YDL032W	+	393690	394001	394002	394136	393555	393689
chrIV	gene	YDL034W	+	391783	392127	392128	392236	391648	391782
chrIV	gene	YDL041W	+	378102	378455	378456	378501	377967	378101
chrIV	gene	YDL045W-A	+	372248	372535	372536	372654	372198	372247
chrIV	gene	YDL046W	+	371240	371761	371762	372117	370914	371239
chrIV	gene	YDL047W	+	369771	370706	370707	370913	369574	369770
chrIV	gene	YDL051W	+	363952	364779	364780	364882	363812	363951
chrIV	gene	YDL056W	+	352877	355378	355379	355548	352707	352876
chrIV	gene	YDL057W	+	351434	352420	352421	352446	351400	351433
chrIV	gene	YDL058W	+	345665	351037	351038	351176	345520	345664
chrIV	gene	YDL060W	+	341619	343985	343986	344083	341543	341618
chrIV	gene	YDL062W	+	339857	340282	340283	340417	339722	339856
chrIV	gene	YDL064W	+	337487	338070	338071	338159	337431	337486
chrIV	gene	YDL066W	+	334835	336121	336122	336264	334684	334834
chrIV	gene	YDL068W	+	333500	333829	333830	334010	333371	333499
chrIV	gene	YDL070W	+	331024	332940	332941	333370	330630	331023
chrIV	gene	YDL073W	+	326613	329567	329568	329623	326437	326612
chrIV	gene	YDL075W	+	322226	322988	322989	323058	322017	322225
chrIV	gene	YDL082W	+	308424	309388	309389	309735	308276	308423
chrIV	gene	YDL084W	+	305237	306577	306578	306688	305035	305236
chrIV	gene	YDL085W	+	303211	304848	304849	304930	302719	303210
chrIV	gene	YDL086W	+	301413	302234	302235	302292	301385	301412
chrIV	gene	YDL089W	+	296820	298274	298275	298878	296539	296819
chrIV	gene	YDL092W	+	292781	293221	293222	293359	292772	292780
chrIV	gene	YDL093W	+	289909	292140	292141	292815	289556	289908
chrIV	gene	YDL095W	+	287059	289512	289513	289609	286916	287058
chrIV	gene	YDL099W	+	283419	284444	284445	284523	283375	283418
