chromosome	start	end	strand	ID
chrII	360618	360970	+	lncRNA_82
chrII	362864	364708	+	lncRNA_83
chrII	365894	366657	+	lncRNA_84
chrII	370073	370873	+	lncRNA_85
chrII	371273	373730	+	lncRNA_86
chrII	376378	378723	+	lncRNA_87
chrII	379154	379450	+	lncRNA_88
chrII	381378	381642	+	lncRNA_89
chrII	391919	392394	+	lncRNA_90
chrII	407408	408066	+	lncRNA_91
chrII	418395	418643	+	lncRNA_92
chrII	419763	420112	+	lncRNA_93
chrII	423517	423749	+	lncRNA_94
chrII	427129	427701	+	lncRNA_95
chrII	427716	431781	+	lncRNA_96
chrII	453557	454701	+	lncRNA_97
chrII	466195	466517	+	lncRNA_98
chrII	472279	474132	+	lncRNA_99
chrII	474286	477052	+	lncRNA_100
chrII	483734	484087	+	lncRNA_101
chrII	493051	493748	+	lncRNA_102
chrII	495571	496083	+	lncRNA_103
chrII	499548	499805	+	lncRNA_104
chrII	514150	515280	+	lncRNA_105
chrII	532468	533378	+	lncRNA_106
chrII	553478	556206	+	lncRNA_107
chrII	571445	572005	+	lncRNA_108
chrII	576349	576773	+	lncRNA_109
chrII	593492	593763	+	lncRNA_110
chrII	594029	594357	+	lncRNA_111
chrII	611192	612051	+	lncRNA_112
chrII	614429	614885	+	lncRNA_113
chrII	615402	616253	+	lncRNA_114
chrII	625308	625693	+	lncRNA_115
chrII	643293	645024	+	lncRNA_116
chrII	655429	655781	+	lncRNA_117
chrII	662893	663181	+	lncRNA_118
chrII	676563	676904	+	lncRNA_119
chrII	682213	682533	+	lncRNA_120
chrII	697845	698773	+	lncRNA_121
chrII	703487	704377	+	lncRNA_122
chrII	707029	707317	+	lncRNA_123
chrII	714685	715477	+	lncRNA_124
chrII	734829	736189	+	lncRNA_125
chrII	741829	742005	+	lncRNA_126
chrII	764202	764870	+	lncRNA_127
chrII	784440	784655	+	lncRNA_128
chrII	785052	785372	+	lncRNA_129
chrII	785452	786476	+	lncRNA_130
chrII	798998	800430	+	lncRNA_131
chrII	807229	808358	+	lncRNA_132
chrII	809936	810302	+	lncRNA_133
chrII	35618	35972	-	lncRNA_134
chrII	42576	43104	-	lncRNA_135
chrII	45288	45464	-	lncRNA_136
chrII	126093	127562	-	lncRNA_137
chrII	146720	146968	-	lncRNA_138
chrII	159883	161413	-	lncRNA_139
chrII	165999	166956	-	lncRNA_140
chrII	169363	170456	-	lncRNA_141
chrII	171447	172181	-	lncRNA_142
chrII	184223	184888	-	lncRNA_143
chrII	208371	209450	-	lncRNA_144
chrII	218231	221115	-	lncRNA_145
chrII	221322	221829	-	lncRNA_146
chrII	235897	236217	-	lncRNA_147
chrII	245889	246191	-	lncRNA_148
chrII	246810	248584	-	lncRNA_149
chrII	255774	256278	-	lncRNA_150
chrII	259882	260337	-	lncRNA_151
chrII	278428	280930	-	lncRNA_152
chrII	283419	284021	-	lncRNA_153
chrII	288336	289203	-	lncRNA_154
chrII	299292	299884	-	lncRNA_155
chrII	301628	304756	-	lncRNA_156
chrII	306988	307108	-	lncRNA_157
chrII	340774	341486	-	lncRNA_158
chrII	341518	341797	-	lncRNA_159
chrII	343018	344019	-	lncRNA_160
chrII	349702	350767	-	lncRNA_161
chrII	351878	352054	-	lncRNA_162
chrII	366605	366933	-	lncRNA_163
chrII	380296	381078	-	lncRNA_164
chrII	406105	406457	-	lncRNA_165
chrII	407905	408489	-	lncRNA_166
chrII	408629	408833	-	lncRNA_167
chrII	417078	417333	-	lncRNA_168
chrII	430993	431841	-	lncRNA_169
chrII	490750	491019	-	lncRNA_170
chrII	506292	506550	-	lncRNA_171
chrII	533843	534992	-	lncRNA_172
chrII	535770	536258	-	lncRNA_173
chrII	539346	541061	-	lncRNA_174
chrII	546028	546166	-	lncRNA_175
chrII	549130	549538	-	lncRNA_176
chrII	590217	591393	-	lncRNA_177
chrII	601321	602258	-	lncRNA_178
chrII	602337	602377	-	lncRNA_179
chrII	628879	629798	-	lncRNA_180
chrII	643563	645008	-	lncRNA_181
chrII	651673	652711	-	lncRNA_182
chrII	653167	653536	-	lncRNA_183
chrII	654965	655186	-	lncRNA_184
chrII	697804	698063	-	lncRNA_185
chrII	704145	704273	-	lncRNA_186
chrII	704532	704944	-	lncRNA_187
chrII	720649	721185	-	lncRNA_188
chrII	722288	723031	-	lncRNA_189
chrII	739263	739618	-	lncRNA_190
chrII	770781	771060	-	lncRNA_191
chrII	773846	774464	-	lncRNA_192
chrII	786480	786873	-	lncRNA_193
chrII	788502	792590	-	lncRNA_194
chrII	792802	796570	-	lncRNA_195
chrII	799306	800066	-	lncRNA_196
chrII	806803	807144	-	lncRNA_197
chrII	809505	809709	-	lncRNA_198
chrIII	29466	30515	+	lncRNA_199
chrIII	30875	31296	+	lncRNA_200
chrIII	39049	39425	+	lncRNA_201
chrIII	39569	41363	+	lncRNA_202
chrIII	50409	50793	+	lncRNA_203
chrIII	68881	69425	+	lncRNA_204
chrIII	74662	75345	+	lncRNA_205
chrIII	77260	78053	+	lncRNA_206
chrIII	85064	90437	+	lncRNA_207
chrIII	103602	104103	+	lncRNA_208
chrIII	104198	104501	+	lncRNA_209
chrIII	105794	106402	+	lncRNA_210
chrIII	114564	115188	+	lncRNA_211
chrIII	116396	117308	+	lncRNA_212
chrIII	120476	121084	+	lncRNA_213
chrIII	123308	124068	+	lncRNA_214
chrIII	124075	124576	+	lncRNA_215
chrIII	125215	126957	+	lncRNA_216
chrIII	131828	132244	+	lncRNA_217
chrIII	132267	133723	+	lncRNA_218
chrIII	139308	139988	+	lncRNA_219
chrIII	147892	148779	+	lncRNA_220
chrIII	152038	152421	+	lncRNA_221
chrIII	155916	156046	+	lncRNA_222
chrIII	156294	157102	+	lncRNA_223
chrIII	157726	159262	+	lncRNA_224
chrIII	160633	161802	+	lncRNA_225
chrIII	163184	164318	+	lncRNA_226
chrIII	169019	169394	+	lncRNA_227
chrIII	173646	175710	+	lncRNA_228
chrIII	179038	179414	+	lncRNA_229
chrIII	202702	205611	+	lncRNA_230
chrIII	205766	205942	+	lncRNA_231
chrIII	206830	208046	+	lncRNA_232
chrIII	210440	210700	+	lncRNA_233
chrIII	223502	224249	+	lncRNA_234
chrIII	236737	237053	+	lncRNA_235
chrIII	242590	244239	+	lncRNA_236
chrIII	245272	245749	+	lncRNA_237
chrIII	245963	246188	+	lncRNA_238
chrIII	273093	274357	+	lncRNA_239
chrIII	295576	295873	+	lncRNA_240
chrIII	298645	299570	+	lncRNA_241
chrIII	299709	300650	+	lncRNA_242
chrIII	303228	304199	+	lncRNA_243
chrIII	10054	10331	-	lncRNA_244
chrIII	27389	27581	-	lncRNA_245
chrIII	28613	29109	-	lncRNA_246
chrIII	29909	30405	-	lncRNA_247
chrIII	30845	31189	-	lncRNA_248
chrIII	52523	53908	-	lncRNA_249
chrIII	112582	112952	-	lncRNA_250
chrIII	113221	114280	-	lncRNA_251
chrIII	114657	117288	-	lncRNA_252
chrIII	119144	119376	-	lncRNA_253
chrIII	124294	125156	-	lncRNA_254
chrIII	130072	130456	-	lncRNA_255
chrIII	147784	148080	-	lncRNA_256
chrIII	152230	152584	-	lncRNA_257
chrIII	176602	176946	-	lncRNA_258
chrIII	178258	178482	-	lncRNA_259
chrIII	213954	214760	-	lncRNA_260
chrIII	224318	224692	-	lncRNA_261
chrIII	224816	227890	-	lncRNA_262
chrIII	238018	238706	-	lncRNA_263
chrIII	253210	254218	-	lncRNA_264
chrIII	262955	263185	-	lncRNA_265
chrIII	308267	310132	-	lncRNA_266
chrIII	311974	312392	-	lncRNA_267
chrIII	312580	313727	-	lncRNA_268
chrIII	313735	314579	-	lncRNA_269
chrIV	11752	12060	+	lncRNA_270
chrIV	12228	12931	+	lncRNA_271
chrIV	35488	36674	+	lncRNA_272
chrIV	46363	47683	+	lncRNA_273
chrIV	47852	49289	+	lncRNA_274
chrIV	49360	49713	+	lncRNA_275
chrIV	49882	50970	+	lncRNA_276
chrIV	57032	57336	+	lncRNA_277
chrIV	59124	60696	+	lncRNA_278
chrIV	73541	77023	+	lncRNA_279
chrIV	80671	83390	+	lncRNA_280
chrIV	101647	102032	+	lncRNA_281
chrIV	102729	103112	+	lncRNA_282
chrIV	145768	147785	+	lncRNA_283
chrIV	149411	149659	+	lncRNA_284
chrIV	163432	163752	+	lncRNA_285
chrIV	192400	192568	+	lncRNA_286
chrIV	198650	199131	+	lncRNA_287
chrIV	219148	219724	+	lncRNA_288
chrIV	220946	221546	+	lncRNA_289
chrIV	238906	239522	+	lncRNA_290
chrIV	264404	264724	+	lncRNA_291
chrIV	294981	295478	+	lncRNA_292
chrIV	300161	300545	+	lncRNA_293
chrIV	310457	311153	+	lncRNA_294
chrIV	312439	314188	+	lncRNA_295
chrIV	314921	316961	+	lncRNA_296
chrIV	320213	321107	+	lncRNA_297
chrIV	323785	324457	+	lncRNA_298
chrIV	329585	329697	+	lncRNA_299
chrIV	330600	330992	+	lncRNA_300
chrIV	357710	358034	+	lncRNA_301
chrIV	365662	365958	+	lncRNA_302
chrIV	367420	368397	+	lncRNA_303
chrIV	368600	369017	+	lncRNA_304
chrIV	381596	390379	+	lncRNA_305
chrIV	407567	408204	+	lncRNA_306
chrIV	413572	413948	+	lncRNA_307
chrIV	417234	417636	+	lncRNA_308
chrIV	421940	422532	+	lncRNA_309
chrIV	423724	424100	+	lncRNA_310
chrIV	442628	442844	+	lncRNA_311
chrIV	453828	454068	+	lncRNA_312
chrIV	457094	457951	+	lncRNA_313
chrIV	460580	460724	+	lncRNA_314
chrIV	476689	477174	+	lncRNA_315
chrIV	482132	482572	+	lncRNA_316
chrIV	482605	483813	+	lncRNA_317
chrIV	485485	486405	+	lncRNA_318
chrIV	501461	502365	+	lncRNA_319
chrIV	506334	507774	+	lncRNA_320
chrIV	512001	513419	+	lncRNA_321
chrIV	518859	519368	+	lncRNA_322
chrIV	538174	538586	+	lncRNA_323
chrIV	542164	545029	+	lncRNA_324
chrIV	545041	545279	+	lncRNA_325
chrIV	545332	545612	+	lncRNA_326
chrIV	556741	557101	+	lncRNA_327
chrIV	562646	562995	+	lncRNA_328
chrIV	563197	563461	+	lncRNA_329
chrIV	587973	588661	+	lncRNA_330
chrIV	589767	590719	+	lncRNA_331
chrIV	602279	602761	+	lncRNA_332
chrIV	614199	616919	+	lncRNA_333
chrIV	617523	618415	+	lncRNA_334
chrIV	621678	621879	+	lncRNA_335
chrIV	628928	629152	+	lncRNA_336
chrIV	643242	643650	+	lncRNA_337
chrIV	644180	644922	+	lncRNA_338
chrIV	650648	651105	+	lncRNA_339
chrIV	680215	680423	+	lncRNA_340
chrIV	715647	716191	+	lncRNA_341
chrIV	718647	719896	+	lncRNA_342
chrIV	720605	720883	+	lncRNA_343
chrIV	722295	726503	+	lncRNA_344
chrIV	727863	728159	+	lncRNA_345
chrIV	744238	744940	+	lncRNA_346
chrIV	791959	792111	+	lncRNA_347
chrIV	794487	796071	+	lncRNA_348
chrIV	831712	832798	+	lncRNA_349
chrIV	872570	877540	+	lncRNA_350
chrIV	883450	883914	+	lncRNA_351
chrIV	904303	905094	+	lncRNA_352
chrIV	915313	915433	+	lncRNA_353
chrIV	935307	935544	+	lncRNA_354
chrIV	943871	944772	+	lncRNA_355
chrIV	957749	958651	+	lncRNA_356
chrIV	963281	963409	+	lncRNA_357
chrIV	968033	969764	+	lncRNA_358
chrIV	974585	975017	+	lncRNA_359
chrIV	976491	979320	+	lncRNA_360
chrIV	979513	980131	+	lncRNA_361
chrIV	981600	986114	+	lncRNA_362
chrIV	991866	992176	+	lncRNA_363
chrIV	1013404	1013603	+	lncRNA_364
chrIV	1013849	1016938	+	lncRNA_365
chrIV	1022747	1023025	+	lncRNA_366
chrIV	1030513	1030881	+	lncRNA_367
chrIV	1049743	1050516	+	lncRNA_368
chrIV	1061305	1061489	+	lncRNA_369
chrIV	1071462	1072706	+	lncRNA_370
chrIV	1072753	1073289	+	lncRNA_371
chrIV	1080797	1081059	+	lncRNA_372
chrIV	1081119	1081352	+	lncRNA_373
chrIV	1090392	1091400	+	lncRNA_374
chrIV	1092760	1093256	+	lncRNA_375
chrIV	1106080	1106856	+	lncRNA_376
chrIV	1140666	1140707	+	lncRNA_377
chrIV	1149683	1149987	+	lncRNA_378
chrIV	1153883	1154075	+	lncRNA_379
chrIV	1156643	1158995	+	lncRNA_380
chrIV	1162316	1166147	+	lncRNA_381
chrIV	1166367	1166573	+	lncRNA_382
chrIV	1166626	1167029	+	lncRNA_383
chrIV	1174467	1175388	+	lncRNA_384
chrIV	1189220	1189612	+	lncRNA_385
chrIV	1195417	1196456	+	lncRNA_386
chrIV	1196532	1197796	+	lncRNA_387
chrIV	1238341	1239405	+	lncRNA_388
chrIV	1240005	1241029	+	lncRNA_389
chrIV	1241794	1242526	+	lncRNA_390
chrIV	1242733	1243157	+	lncRNA_391
chrIV	1266973	1267349	+	lncRNA_392
chrIV	1270845	1271005	+	lncRNA_393
chrIV	1288242	1289149	+	lncRNA_394
chrIV	1295765	1296707	+	lncRNA_395
chrIV	1302229	1302717	+	lncRNA_396
chrIV	1319415	1319765	+	lncRNA_397
chrIV	1323469	1324429	+	lncRNA_398
chrIV	1334213	1334581	+	lncRNA_399
chrIV	1359165	1359493	+	lncRNA_400
chrIV	1360949	1361053	+	lncRNA_401
chrIV	1361112	1362308	+	lncRNA_402
chrIV	1367029	1367437	+	lncRNA_403
chrIV	1406082	1409137	+	lncRNA_404
chrIV	1409405	1410269	+	lncRNA_405
chrIV	1410316	1412009	+	lncRNA_406
chrIV	1419103	1420331	+	lncRNA_407
chrIV	1427413	1427901	+	lncRNA_408
chrIV	1428329	1429104	+	lncRNA_409
chrIV	1433188	1433502	+	lncRNA_410
chrIV	1433625	1434223	+	lncRNA_411
chrIV	1438727	1439226	+	lncRNA_412
chrIV	1445758	1446898	+	lncRNA_413
chrIV	1453796	1454493	+	lncRNA_414
chrIV	1454919	1455788	+	lncRNA_415
chrIV	1456077	1456717	+	lncRNA_416
chrIV	1459755	1460765	+	lncRNA_417
chrIV	1466213	1466381	+	lncRNA_418
chrIV	1483716	1485589	+	lncRNA_419
chrIV	1487549	1488717	+	lncRNA_420
chrIV	1496813	1497189	+	lncRNA_421
chrIV	1500708	1502646	+	lncRNA_422
chrIV	1507070	1507925	+	lncRNA_423
chrIV	1514289	1515369	+	lncRNA_424
chrIV	1515958	1517665	+	lncRNA_425
chrIV	1518284	1519438	+	lncRNA_426
chrIV	1521109	1522482	+	lncRNA_427
chrIV	3208	4287	-	lncRNA_428
chrIV	4597	4893	-	lncRNA_429
chrIV	5054	5768	-	lncRNA_430
chrIV	21869	22453	-	lncRNA_431
chrIV	31717	32045	-	lncRNA_432
chrIV	48247	48984	-	lncRNA_433
chrIV	65044	65948	-	lncRNA_434
chrIV	89524	89844	-	lncRNA_435
chrIV	98860	99316	-	lncRNA_436
chrIV	115164	116100	-	lncRNA_437
chrIV	132094	132712	-	lncRNA_438
chrIV	134340	135559	-	lncRNA_439
chrIV	138364	139348	-	lncRNA_440
chrIV	187684	187852	-	lncRNA_441
chrIV	194148	194396	-	lncRNA_442
chrIV	212631	217190	-	lncRNA_443
chrIV	222052	222348	-	lncRNA_444
chrIV	230974	234425	-	lncRNA_445
chrIV	234816	235578	-	lncRNA_446
chrIV	240174	241157	-	lncRNA_447
chrIV	241210	242075	-	lncRNA_448
chrIV	247781	248021	-	lncRNA_449
chrIV	250688	251300	-	lncRNA_450
chrIV	267688	268050	-	lncRNA_451
chrIV	268310	269257	-	lncRNA_452
chrIV	269342	269699	-	lncRNA_453
chrIV	292261	292573	-	lncRNA_454
chrIV	303837	304845	-	lncRNA_455
chrIV	309525	309717	-	lncRNA_456
chrIV	340245	340405	-	lncRNA_457
chrIV	345077	345445	-	lncRNA_458
chrIV	352269	352621	-	lncRNA_459
chrIV	356909	357141	-	lncRNA_460
chrIV	368261	368429	-	lncRNA_461
chrIV	370935	371984	-	lncRNA_462
chrIV	398507	399100	-	lncRNA_463
chrIV	407408	407592	-	lncRNA_464
chrIV	411400	411568	-	lncRNA_465
chrIV	413840	414800	-	lncRNA_466
chrIV	428464	428728	-	lncRNA_467
chrIV	433312	434072	-	lncRNA_468
chrIV	443761	444207	-	lncRNA_469
chrIV	454329	454563	-	lncRNA_470
chrIV	462740	463843	-	lncRNA_471
chrIV	470536	471537	-	lncRNA_472
chrIV	488937	489225	-	lncRNA_473
chrIV	505378	507450	-	lncRNA_474
chrIV	513950	519334	-	lncRNA_475
chrIV	538820	539573	-	lncRNA_476
chrIV	544828	545969	-	lncRNA_477
chrIV	547665	547801	-	lncRNA_478
chrIV	555409	555649	-	lncRNA_479
chrIV	556513	556673	-	lncRNA_480
chrIV	562513	562857	-	lncRNA_481
chrIV	575008	575858	-	lncRNA_482
chrIV	575961	576222	-	lncRNA_483
chrIV	578425	579080	-	lncRNA_484
chrIV	592666	592924	-	lncRNA_485
chrIV	593226	593498	-	lncRNA_486
chrIV	598426	600282	-	lncRNA_487
chrIV	602938	603242	-	lncRNA_488
chrIV	620811	621733	-	lncRNA_489
chrIV	629443	630691	-	lncRNA_490
chrIV	651825	652544	-	lncRNA_491
chrIV	652632	653140	-	lncRNA_492
chrIV	687251	687859	-	lncRNA_493
chrIV	690227	690483	-	lncRNA_494
chrIV	703363	704187	-	lncRNA_495
chrIV	733036	733337	-	lncRNA_496
chrIV	750915	751347	-	lncRNA_497
chrIV	768107	768371	-	lncRNA_498
chrIV	769699	770203	-	lncRNA_499
chrIV	776458	776807	-	lncRNA_500
chrIV	777010	777310	-	lncRNA_501
chrIV	777420	777704	-	lncRNA_502
chrIV	777728	778072	-	lncRNA_503
chrIV	778296	778676	-	lncRNA_504
chrIV	781235	781355	-	lncRNA_505
chrIV	784267	784643	-	lncRNA_506
chrIV	803036	803699	-	lncRNA_507
chrIV	819649	820973	-	lncRNA_508
chrIV	829097	829423	-	lncRNA_509
chrIV	831564	831756	-	lncRNA_510
chrIV	892028	892444	-	lncRNA_511
chrIV	892883	893516	-	lncRNA_512
chrIV	908330	909413	-	lncRNA_513
chrIV	909964	913773	-	lncRNA_514
chrIV	916061	916341	-	lncRNA_515
chrIV	924285	924541	-	lncRNA_516
chrIV	927525	927645	-	lncRNA_517
chrIV	954490	954774	-	lncRNA_518
chrIV	955000	955306	-	lncRNA_519
chrIV	980069	980925	-	lncRNA_520
chrIV	1004461	1005333	-	lncRNA_521
chrIV	1010917	1011429	-	lncRNA_522
chrIV	1018086	1019139	-	lncRNA_523
chrIV	1019973	1020389	-	lncRNA_524
chrIV	1031733	1032101	-	lncRNA_525
chrIV	1036637	1037005	-	lncRNA_526
chrIV	1077461	1077893	-	lncRNA_527
chrIV	1096075	1096549	-	lncRNA_528
chrIV	1102103	1103836	-	lncRNA_529
chrIV	1129640	1130775	-	lncRNA_530
chrIV	1130854	1131350	-	lncRNA_531
chrIV	1138836	1139428	-	lncRNA_532
chrIV	1139435	1140529	-	lncRNA_533
chrIV	1145727	1146063	-	lncRNA_534
chrIV	1166159	1166439	-	lncRNA_535
chrIV	1174615	1174823	-	lncRNA_536
chrIV	1182392	1183491	-	lncRNA_537
chrIV	1204233	1204409	-	lncRNA_538
chrIV	1207199	1207477	-	lncRNA_539
chrIV	1233561	1233681	-	lncRNA_540
chrIV	1234041	1236200	-	lncRNA_541
chrIV	1251065	1251457	-	lncRNA_542
chrIV	1259737	1260181	-	lncRNA_543
chrIV	1260369	1261393	-	lncRNA_544
chrIV	1268929	1269753	-	lncRNA_545
chrIV	1275041	1276513	-	lncRNA_546
chrIV	1279073	1279945	-	lncRNA_547
chrIV	1291089	1292153	-	lncRNA_548
chrIV	1299961	1300977	-	lncRNA_549
chrIV	1303009	1304188	-	lncRNA_550
chrIV	1311760	1312667	-	lncRNA_551
chrIV	1338205	1339417	-	lncRNA_552
chrIV	1340554	1342220	-	lncRNA_553
chrIV	1353064	1353561	-	lncRNA_554
chrIV	1356827	1357090	-	lncRNA_555
chrIV	1363836	1364045	-	lncRNA_556
chrIV	1368957	1369306	-	lncRNA_557
chrIV	1383553	1384769	-	lncRNA_558
chrIV	1417321	1418227	-	lncRNA_559
chrIV	1435793	1436697	-	lncRNA_560
chrIV	1451092	1452864	-	lncRNA_561
chrIV	1469882	1470264	-	lncRNA_562
chrIV	1476521	1476641	-	lncRNA_563
chrIV	1476657	1477001	-	lncRNA_564
chrIV	1478656	1479956	-	lncRNA_565
chrIV	1480209	1480606	-	lncRNA_566
chrIV	1489089	1489233	-	lncRNA_567
chrIV	1492153	1492385	-	lncRNA_568
chrIV	1493469	1493953	-	lncRNA_569
chrIV	1507402	1507498	-	lncRNA_570
chrIV	1507906	1509826	-	lncRNA_571
chrIV	1514051	1516443	-	lncRNA_572
chrIV	1527483	1527697	-	lncRNA_573
chrIV	1528082	1528372	-	lncRNA_574
chrV	3733	4450	+	lncRNA_575
chrV	7713	8297	+	lncRNA_576
chrV	9969	10497	+	lncRNA_577
chrV	11545	11929	+	lncRNA_578
chrV	21418	25472	+	lncRNA_579
chrV	34145	34321	+	lncRNA_580
chrV	40044	41929	+	lncRNA_581
chrV	45065	45809	+	lncRNA_582
chrV	50199	50470	+	lncRNA_583
chrV	50508	51003	+	lncRNA_584
chrV	51016	52066	+	lncRNA_585
chrV	63385	63696	+	lncRNA_586
chrV	118097	118673	+	lncRNA_587
chrV	137155	138520	+	lncRNA_588
chrV	150259	151762	+	lncRNA_589
chrV	152404	152668	+	lncRNA_590
chrV	167038	167800	+	lncRNA_591
chrV	167847	168687	+	lncRNA_592
chrV	172987	173256	+	lncRNA_593
chrV	173382	173770	+	lncRNA_594
chrV	191978	192682	+	lncRNA_595
chrV	208762	209066	+	lncRNA_596
chrV	210480	212459	+	lncRNA_597
chrV	238650	239162	+	lncRNA_598
chrV	239640	240169	+	lncRNA_599
chrV	240437	241445	+	lncRNA_600
chrV	248509	248820	+	lncRNA_601
chrV	259835	260635	+	lncRNA_602
chrV	261954	262802	+	lncRNA_603
chrV	263737	264368	+	lncRNA_604
chrV	264500	264801	+	lncRNA_605
chrV	268502	269431	+	lncRNA_606
chrV	270658	271624	+	lncRNA_607
chrV	279882	280902	+	lncRNA_608
chrV	284419	287734	+	lncRNA_609
chrV	309005	309045	+	lncRNA_610
chrV	310085	311886	+	lncRNA_611
chrV	316760	317281	+	lncRNA_612
chrV	318028	318364	+	lncRNA_613
chrV	326173	326549	+	lncRNA_614
chrV	333661	334021	+	lncRNA_615
chrV	334026	334276	+	lncRNA_616
chrV	334382	335733	+	lncRNA_617
chrV	337022	337317	+	lncRNA_618
chrV	343485	343893	+	lncRNA_619
chrV	347781	348485	+	lncRNA_620
chrV	353731	354396	+	lncRNA_621
chrV	361445	362304	+	lncRNA_622
chrV	377949	378795	+	lncRNA_623
chrV	395285	395517	+	lncRNA_624
chrV	407170	408024	+	lncRNA_625
chrV	408038	408838	+	lncRNA_626
chrV	422189	422613	+	lncRNA_627
chrV	425237	425533	+	lncRNA_628
chrV	427820	429766	+	lncRNA_629
chrV	437994	438488	+	lncRNA_630
chrV	448537	448849	+	lncRNA_631
chrV	461118	461831	+	lncRNA_632
chrV	462995	465061	+	lncRNA_633
chrV	483296	484754	+	lncRNA_634
chrV	489926	491262	+	lncRNA_635
chrV	497653	498104	+	lncRNA_636
chrV	500638	501334	+	lncRNA_637
chrV	503109	504980	+	lncRNA_638
chrV	554116	556970	+	lncRNA_639
chrV	562950	564462	+	lncRNA_640
chrV	8413	9773	-	lncRNA_641
chrV	10314	11341	-	lncRNA_642
chrV	14693	15029	-	lncRNA_643
chrV	15349	15981	-	lncRNA_644
chrV	46575	46866	-	lncRNA_645
chrV	51773	51973	-	lncRNA_646
chrV	52349	52485	-	lncRNA_647
chrV	58821	59309	-	lncRNA_648
chrV	62821	63724	-	lncRNA_649
chrV	75768	77482	-	lncRNA_650
chrV	98372	99482	-	lncRNA_651
chrV	132661	135397	-	lncRNA_652
chrV	146819	147284	-	lncRNA_653
chrV	147307	147930	-	lncRNA_654
chrV	151105	151895	-	lncRNA_655
chrV	152174	152662	-	lncRNA_656
chrV	155958	156501	-	lncRNA_657
chrV	161404	162450	-	lncRNA_658
chrV	166926	167326	-	lncRNA_659
chrV	176085	177592	-	lncRNA_660
chrV	178206	178574	-	lncRNA_661
chrV	186923	188284	-	lncRNA_662
chrV	192782	194150	-	lncRNA_663
chrV	194630	195030	-	lncRNA_664
chrV	202194	202506	-	lncRNA_665
chrV	202936	204590	-	lncRNA_666
chrV	222510	223270	-	lncRNA_667
