chromosome	type	start	end	strand	id	name	transcript.start	transcript.end
chrII	gene	504243	504644	+	YBR134W		504108	504779
chrII	gene	504854	505306	+	YBR135W	CKS1	504744	505520
chrII	gene	505668	512774	+	YBR136W	MEC1	505533	512975
chrII	gene	513044	513583	+	YBR137W		512826	513720
chrII	gene	515664	517190	+	YBR139W		515631	517361
chrII	gene	527167	527262	+	YBR141W-A		527032	527397
chrII	gene	528317	530638	+	YBR142W	MAK5	528253	530783
chrII	gene	533762	534817	+	YBR145W	ADH5	533639	534971
chrII	gene	535260	536096	+	YBR146W	MRPS9	535189	536300
chrII	gene	536575	537465	+	YBR147W	RTC2	536249	537492
chrII	gene	537876	539705	+	YBR148W	YSW1	537449	539942
chrII	gene	539987	541021	+	YBR149W	ARA1	539943	541222
chrII	gene	545028	545978	+	YBR151W	APD1	544876	546217
chrII	gene	546376	547251	+	YBR152W	SPP381	546318	547386
chrII	gene	547460	548194	+	YBR153W	RIB7	547407	548533
chrII	gene	549771	550928	+	YBR155W	CNS1	549722	551008
chrII	gene	556549	558198	+	YBR158W	AMN1	556221	558593
chrII	gene	558685	559728	+	YBR159W	IFA38	558545	559816
chrII	gene	560078	560974	+	YBR160W	CDC28	559724	561070
chrII	gene	561634	562764	+	YBR161W	CSH1	561499	563080
chrII	gene	565231	565428	+	YBR162W-A	YSY6	565119	565525
chrII	gene	565723	567480	+	YBR163W	EXO5	565586	567765
chrII	gene	568852	569685	+	YBR165W	UBS1	568677	569731
chrII	gene	572371	573612	+	YBR168W	PEX32	572236	573766
chrII	gene	578364	578984	+	YBR171W	SEC66	578294	579111
chrII	gene	582408	583355	+	YBR175W	SWD3	582252	583415
chrII	gene	583720	584658	+	YBR176W	ECM31	583626	584804
chrII	gene	586071	586445	+	YBR178W		585936	586580
chrII	gene	589741	591459	+	YBR180W	DTR1	589606	591594
chrII	gene	596115	597065	+	YBR183W	YPC1	595781	597258
chrII	gene	597363	598934	+	YBR184W		597228	599045
chrII	gene	600553	602360	+	YBR186W	PCH2	600418	602523
chrII	gene	602634	603476	+	YBR187W	GDT1	602520	603566
chrII	gene	604508	605508	+	YBR189W	RPS9B	604363	605676
chrII	gene	606270	607140	+	YBR191W	RPL21A	606181	607326
chrII	gene	607149	607223	+	YBR191W-A		607014	607326
chrII	gene	607652	608785	+	YBR192W	RIM2	607463	609057
chrII	gene	610038	610409	+	YBR194W	AIM4	609843	610569
chrII	gene	618909	620303	+	YBR199W	KTR4	618816	620547
chrII	gene	620872	622527	+	YBR200W	BEM1	620777	622752
chrII	gene	622983	623147	+	YBR200W-A		622848	623282
chrII	gene	623576	624211	+	YBR201W	DER1	623438	624337
chrII	gene	625772	628309	+	YBR202W	MCM7	625696	628569
chrII	gene	629168	631942	+	YBR203W	COS111	628682	632041
chrII	gene	633622	634836	+	YBR205W	KTR3	633562	634881
chrII	gene	634601	634924	+	YBR206W		634466	635016
chrII	gene	635146	636543	+	YBR207W	FTH1	634882	636662
chrII	gene	642583	642900	+	YBR209W		642262	643035
chrII	gene	645550	645978	+	YBR210W	ERV15	645257	646194
chrII	gene	647886	649904	+	YBR212W	NGR1	647450	650114
chrII	gene	650368	651192	+	YBR213W	MET8	650262	651341
chrII	gene	651415	652998	+	YBR214W	SDS24	651331	653178
chrII	gene	653356	655317	+	YBR215W	HPC2	653122	655435
chrII	gene	657832	658392	+	YBR217W	ATG12	657756	658699
chrII	gene	666538	666642	+	YBR221W-A		666517	666978
chrII	gene	668721	668840	+	YBR223W-A		668359	668975
chrII	gene	670125	670640	+	YBR224W		669990	670775
chrII	gene	670627	673329	+	YBR225W		670505	673464
chrII	gene	675313	676227	+	YBR228W	SLX1	675260	676341
chrII	gene	680362	680562	+	YBR230W-A		680196	680696
chrII	gene	683428	684669	+	YBR233W	PBP2	683322	684886
chrII	gene	684977	685261	+	YBR233W-A	DAD3	684913	685497
chrII	gene	686901	690263	+	YBR235W	VHC1	686726	690361
chrII	gene	691969	694518	+	YBR237W	PRP5	691889	694624
chrII	gene	704670	705386	+	YBR242W		704468	705447
chrII	gene	707528	708016	+	YBR244W	GPX2	707322	708138
chrII	gene	711591	712754	+	YBR246W	RRT2	711554	712848
chrII	gene	719033	720604	+	YBR250W	SPO23	718898	720739
chrII	gene	721390	722313	+	YBR251W	MRPS5	721266	722393
chrII	gene	722611	723054	+	YBR252W	DUT1	722597	723118
chrII	gene	723270	723635	+	YBR253W	SRB6	723223	724280
chrII	gene	724456	726540	+	YBR255W	MTC4	724420	726679
chrII	gene	728885	729724	+	YBR257W	POP4	728661	729866
chrII	gene	730387	732453	+	YBR259W		730250	732596
chrII	gene	736264	737736	+	YBR263W	SHM1	736171	737871
chrII	gene	738582	739544	+	YBR265W	TSC10	738527	739680
chrII	gene	739841	741022	+	YBR267W	REI1	739816	741143
chrII	gene	741299	741616	+	YBR268W	MRPL37	741222	741751
chrII	gene	744852	746111	+	YBR271W	EFM2	744838	746207
chrII	gene	749594	751177	+	YBR274W	CHK1	749544	751371
chrII	gene	760294	760899	+	YBR278W	DPB3	760159	761048
chrII	gene	761257	762594	+	YBR279W	PAF1	761213	762739
chrII	gene	768240	768680	+	YBR282W	MRPL27	768128	768867
chrII	gene	771239	773632	+	YBR284W		771104	773843
chrII	gene	773922	774356	+	YBR285W		773844	774569
chrII	gene	774700	776313	+	YBR286W	APE3	774628	776363
chrII	gene	776571	777854	+	YBR287W		776348	777907
chrII	gene	779667	782384	+	YBR289W	SNF5	779614	782436
chrII	gene	782591	783556	+	YBR290W	BSD2	782552	783658
chrII	gene	787006	788430	+	YBR293W	VBA2	786516	788742
chrII	gene	789235	791814	+	YBR294W	SUL1	788816	792077
chrII	gene	792849	796499	+	YBR295W	PCA1	792783	796630
chrII	gene	800523	801929	+	YBR297W	MAL33	800469	802280
chrII	gene	805351	807105	+	YBR299W	MAL32	805216	807240
chrII	gene	809057	809419	+	YBR301W	PAU24	808922	809554
chrIII	gene	111916	112482	+	YCL001W	RER1	111822	112670
chrIII	gene	113080	113541	+	YCL001W-A		112757	114228
chrIII	gene	113770	114024	+	YCL001W-B		113635	114228
chrIII	gene	109105	110670	+	YCL004W	PGS1	109025	110709
chrIII	gene	108021	108791	+	YCL005W	LDB16	107522	108906
chrIII	gene	107023	107417	+	YCL005W-A	VMA9	106888	107521
chrIII	gene	96281	101191	+	YCL014W	BUD3	96196	101916
chrIII	gene	91324	92418	+	YCL018W	LEU2	91189	92553
chrIII	gene	83620	83997	+	YCL021W-A		83038	84092
chrIII	gene	79162	82275	+	YCL024W	KCC4	78782	82375
chrIII	gene	71803	73341	+	YCL027W	FUS1	71406	73421
chrIII	gene	70150	71367	+	YCL028W	RNQ1	70086	71418
chrIII	gene	63441	64481	+	YCL032W	STE50	63251	64678
chrIII	gene	61658	62722	+	YCL034W	LSB5	61451	62895
chrIII	gene	59026	60726	+	YCL036W	GFD2	58891	61254
chrIII	gene	52645	54882	+	YCL039W	GID7	52515	55017
chrIII	gene	50838	52340	+	YCL040W	GLK1	50807	52520
chrIII	gene	50584	50943	+	YCL042W		50255	51806
chrIII	gene	46640	46963	+	YCL046W		46505	48086
chrIII	gene	42165	43556	+	YCL048W	SPS22	41441	43723
chrIII	gene	41488	41727	+	YCL048W-A		41441	42091
chrIII	gene	35865	37616	+	YCL051W	LRE1	35547	37786
chrIII	gene	31449	33974	+	YCL054W	SPB1	31416	34094
chrIII	gene	30910	30996	+	YCL054W-A	RDT1	30775	31131
chrIII	gene	27929	28936	+	YCL055W	KAR4	27799	29114
chrIII	gene	24768	26906	+	YCL057W	PRD1	24725	27033
chrIII	gene	23584	23925	+	YCL058W-A	ADF1	23567	23991
chrIII	gene	17290	18561	+	YCL063W	VAC17	16899	18716
chrIII	gene	13751	14119	+	YCL065W		13616	14254
chrIII	gene	13282	13809	+	YCL066W	HMLALPHA1	13147	13944
chrIII	gene	9706	11082	+	YCL069W	VBA3	9571	11217
chrIII	gene	1392	2135	+	YCL076W		1257	2270
chrIII	gene	115685	115999	+	YCR001W		115164	116226
chrIII	gene	118620	119171	+	YCR003W	MRPL32	118515	119454
chrIII	gene	128470	130281	+	YCR008W	SAT4	127820	130699
chrIII	gene	137746	138996	+	YCR012W	PGK1	137486	139165
chrIII	gene	143634	144506	+	YCR016W		143239	144658
chrIII	gene	152837	153928	+	YCR019W	MAK32	152699	153938
chrIII	gene	155320	155556	+	YCR020W-B	HTL1	155258	156337
chrIII	gene	179520	186023	+	YCR032W	BPH1	179390	186156
chrIII	gene	186489	190169	+	YCR033W	SNT1	186195	190310
chrIII	gene	190592	191635	+	YCR034W	ELO2	190544	191804
chrIII	gene	193297	194298	+	YCR036W	RBK1	193248	194382
chrIII	gene	199293	199418	+	YCR038W-A		199158	199553
chrIII	gene	200442	200969	+	YCR040W	MATALPHA1	200307	201104
chrIII	gene	200911	201243	+	YCR041W		200776	201378
chrIII	gene	208751	209101	+	YCR045W-A		208616	209878
chrIII	gene	211301	211507	+	YCR047W-A		211166	211769
chrIII	gene	211929	213761	+	YCR048W	ARE1	211835	213944
chrIII	gene	214071	214739	+	YCR051W		213855	214891
chrIII	gene	214994	216445	+	YCR052W	RSC6	214964	216656
chrIII	gene	216697	218241	+	YCR053W	THR4	216544	218329
chrIII	gene	224399	224734	+	YCR060W	TAH1	224384	224858
chrIII	gene	225563	227458	+	YCR061W		225122	227860
chrIII	gene	228318	228791	+	YCR063W	BUD31	228263	228926
chrIII	gene	229310	231004	+	YCR065W	HCM1	229222	231403
chrIII	gene	231500	232963	+	YCR066W	RAD18	231457	233127
chrIII	gene	237214	238776	+	YCR068W	ATG15	236922	238921
chrIII	gene	239055	240011	+	YCR069W	CPR4	238845	240131
chrIII	gene	246963	247910	+	YCR073W-A	SOL2	246923	248024
chrIII	gene	248975	249202	+	YCR075W-A	EGO2	248902	249300
chrIII	gene	252845	254173	+	YCR079W	PTC6	252756	254304
chrIII	gene	254371	258654	+	YCR081W	SRB8	254368	258847
chrIII	gene	258883	259269	+	YCR082W	AHC2	258848	259498
chrIII	gene	259578	259961	+	YCR083W	TRX3	259542	260079
chrIII	gene	262916	263269	+	YCR085W		262781	263404
chrIII	gene	263392	263964	+	YCR086W	CSM1	263244	264483
chrIII	gene	263976	264491	+	YCR087W		263244	264626
chrIII	gene	265068	266846	+	YCR088W	ABP1	264978	266957
chrIII	gene	267434	272263	+	YCR089W	FIG2	266958	272857
chrIII	gene	274404	276566	+	YCR091W	KIN82	274332	276971
chrIII	gene	280117	286443	+	YCR093W	CDC39	280055	286550
chrIII	gene	286762	287937	+	YCR094W	CDC50	286700	288010
chrIII	gene	289639	289797	+	YCR095W-A		289515	289932
chrIII	gene	293835	294321	+	YCR097W	HMRA1	293730	294370
chrIII	gene	294439	294705	+	YCR097W-A		294304	294840
chrIII	gene	306735	306932	+	YCR102W-A		306600	307067
chrIII	gene	307801	308175	+	YCR104W	PAU3	307666	308618
chrIII	gene	309070	310155	+	YCR105W	ADH7	308684	310187
chrIII	gene	310958	313456	+	YCR106W	RDS1	310823	314244
chrIII	gene	313890	314981	+	YCR107W	AAD3	313755	315116
chrIV	gene	447984	449276	+	YDL001W	RMD1	447897	449527
chrIV	gene	444683	446383	+	YDL003W	MCD1	444511	446511
chrIV	gene	443029	443511	+	YDL004W	ATP16	442952	443787
chrIV	gene	439909	440754	+	YDL006W	PTC1	439546	440885
chrIV	gene	438047	439360	+	YDL007W	RPT2	437986	439493
chrIV	gene	433497	433994	+	YDL008W	APC11	433214	434107
chrIV	gene	432330	433025	+	YDL010W	GRX6	432234	433282
chrIV	gene	429067	430926	+	YDL013W	SLX5	428874	431011
chrIV	gene	427364	428347	+	YDL014W	NOP1	427052	428793
chrIV	gene	424209	425732	+	YDL017W	CDC7	424129	426188
chrIV	gene	413953	414888	+	YDL021W	GPM2	413931	416086
chrIV	gene	411825	413000	+	YDL022W	GPD1	411737	413122
chrIV	gene	405410	405514	+	YDL025W-A		405275	405649
chrIV	gene	404749	405060	+	YDL026W		404614	405195
chrIV	gene	399340	400638	+	YDL029W	ARP2	399302	400781
chrIV	gene	397537	399129	+	YDL030W	PRP9	397458	399219
chrIV	gene	394217	397204	+	YDL031W	DBP10	394135	397395
chrIV	gene	393690	394001	+	YDL032W		393555	394136
chrIV	gene	391783	392127	+	YDL034W		391648	392236
chrIV	gene	378102	378455	+	YDL041W		377967	378501
chrIV	gene	372248	372535	+	YDL045W-A	MRP10	372198	372654
chrIV	gene	371240	371761	+	YDL046W	NPC2	370914	372117
chrIV	gene	369771	370706	+	YDL047W	SIT4	369574	370913
chrIV	gene	363952	364779	+	YDL051W	LHP1	363812	364882
chrIV	gene	352877	355378	+	YDL056W	MBP1	352707	355548
chrIV	gene	351434	352420	+	YDL057W		351400	352446
chrIV	gene	345665	351037	+	YDL058W	USO1	345520	351176
chrIV	gene	341619	343985	+	YDL060W	TSR1	341543	344083
chrIV	gene	339857	340282	+	YDL062W		339722	340417
chrIV	gene	337487	338070	+	YDL064W	UBC9	337431	338159
chrIV	gene	334835	336121	+	YDL066W	IDP1	334684	336264
chrIV	gene	333500	333829	+	YDL068W		333371	334010
chrIV	gene	331024	332940	+	YDL070W	BDF2	330630	333370
chrIV	gene	326613	329567	+	YDL073W	AHK1	326437	329623
chrIV	gene	322226	322988	+	YDL075W	RPL31A	322017	323058
chrIV	gene	308424	309388	+	YDL082W	RPL13A	308276	309735
chrIV	gene	305237	306577	+	YDL084W	SUB2	305035	306688
chrIV	gene	303211	304848	+	YDL085W	NDE2	302719	304930
chrIV	gene	301413	302234	+	YDL086W		301385	302292
chrIV	gene	296820	298274	+	YDL089W	NUR1	296539	298878
chrIV	gene	292781	293221	+	YDL092W	SRP14	292772	293359
chrIV	gene	289909	292140	+	YDL093W	PMT5	289556	292815
chrIV	gene	287059	289512	+	YDL095W	PMT1	286916	289609
chrIV	gene	283419	284444	+	YDL099W	BUG1	283375	284523
chrIV	gene	276872	280165	+	YDL102W	POL3	276790	280291
chrIV	gene	272389	273597	+	YDL105W	NSE4	272343	273732
chrIV	gene	268921	269976	+	YDL107W	MSS2	268871	270176
chrIV	gene	267698	268699	+	YDL108W	KIN28	267649	268775
chrIV	gene	258915	263225	+	YDL112W	TRM3	258843	263342
chrIV	gene	254935	255048	+	YDL114W-A		254157	255163
chrIV	gene	251566	253746	+	YDL116W	NUP84	251515	253803
chrIV	gene	248581	251238	+	YDL117W	CYK3	247786	251374
chrIV	gene	247302	247682	+	YDL118W		247167	247880
chrIV	gene	245923	246447	+	YDL120W	YFH1	245831	246616
chrIV	gene	242552	244981	+	YDL122W	UBP1	242519	245613
chrIV	gene	241418	241840	+	YDL123W	SNA4	241262	241851
chrIV	gene	240259	241197	+	YDL124W		240162	241270
chrIV	gene	234927	235853	+	YDL127W	PCL2	234703	236016
chrIV	gene	232652	233887	+	YDL128W	VCX1	232562	234256
chrIV	gene	231024	231899	+	YDL129W		230873	232592
chrIV	gene	229906	230527	+	YDL130W	RPP1B	229767	230668
chrIV	gene	229171	229431	+	YDL130W-A	STF1	229112	229648
chrIV	gene	227393	228715	+	YDL131W	LYS21	227230	228872
chrIV	gene	224304	226751	+	YDL132W	CDC53	224000	226898
chrIV	gene	222427	223740	+	YDL133W	SRF1	222155	223847
chrIV	gene	217600	218367	+	YDL136W	RPL35B	217540	218731
chrIV	gene	216158	217074	+	YDL137W	ARF2	215924	217295
chrIV	gene	213351	215642	+	YDL138W	RGT2	213148	215797
chrIV	gene	203039	205111	+	YDL141W	BPL1	202798	205375
chrIV	gene	199996	201582	+	YDL143W	CCT4	199955	201682
chrIV	gene	192750	194225	+	YDL146W	LDB17	192559	194418
chrIV	gene	190924	192261	+	YDL147W	RPN5	190854	192448
