chromosome	type	start	end	strand	id	name
chrI	gene	82706	83227	+	YAL033W	POP5
chrI	gene	83335	84474	-	YAL032C	PRP45
chrI	gene	84669	84977	+	YAL031W-A	
chrI	gene	84749	87031	-	YAL031C	GIP4
chrI	gene	87286	87752	+	YAL030W	SNC1
chrI	gene	87855	92270	-	YAL029C	MYO4
chrI	gene	92900	94486	+	YAL028W	FRT2
chrI	gene	94687	95472	+	YAL027W	SAW1
chrI	gene	95386	95823	-	YAL026C-A	
chrI	gene	95630	99697	-	YAL026C	DRS2
chrI	gene	100225	101145	-	YAL025C	MAK16
chrI	gene	101565	105872	-	YAL024C	LTE1
chrI	gene	106272	108551	-	YAL023C	PMT2
chrI	gene	108877	110430	-	YAL022C	FUN26
chrI	gene	110846	113359	-	YAL021C	CCR4
chrI	gene	113614	114615	-	YAL020C	ATS1
chrI	gene	114250	114819	+	YAL019W-A	
chrI	gene	114919	118314	+	YAL019W	FUN30
chrI	gene	118564	119541	-	YAL018C	LDS1
chrI	gene	120225	124295	+	YAL017W	PSK1
chrI	gene	124307	124492	-	YAL016C-B	
chrI	gene	124755	125069	-	YAL016C-A	
chrI	gene	124879	126786	+	YAL016W	TPD3
chrI	gene	126903	128102	-	YAL015C	NTG1
chrI	gene	128252	129019	-	YAL014C	SYN8
chrI	gene	129270	130487	+	YAL013W	DEP1
chrI	gene	130799	131983	+	YAL012W	CYS3
chrI	gene	132199	134076	+	YAL011W	SWC3
chrI	gene	134184	135665	-	YAL010C	MDM10
chrI	gene	135854	136633	+	YAL009W	SPO7
chrI	gene	136914	137510	+	YAL008W	FUN14
chrI	gene	137698	138345	-	YAL007C	ERP2
chrI	gene	139503	141431	-	YAL005C	SSA1
chrI	gene	140760	141407	+	YAL004W	
chrI	gene	142174	143160	+	YAL003W	EFB1
chrI	gene	143707	147531	+	YAL002W	VPS8
chrI	gene	147594	151166	-	YAL001C	TFC3
chrI	gene	152257	153876	+	YAR002W	NUP60
chrI	gene	154065	154724	-	YAR002C-A	ERP1
chrI	gene	155005	156285	+	YAR003W	SWD1
chrI	gene	156754	158619	-	YAR007C	RFA1
chrI	gene	158966	159793	+	YAR008W	SEN34
chrI	gene	166742	168871	-	YAR014C	BUD14
chrI	gene	169375	170295	+	YAR015W	ADE1
chrI	gene	170396	171703	-	YAR018C	KIN3
chrI	gene	172211	175135	-	YAR019C	CDC15
chrI	gene	174998	175330	+	YAR019W-A	
chrI	gene	176856	177023	-	YAR020C	PAU7
chrI	gene	179281	179820	-	YAR023C	
chrI	gene	183770	184477	+	YAR027W	UIP3
chrI	gene	184892	185596	+	YAR028W	
chrI	gene	186321	186545	+	YAR029W	
chrI	gene	186512	186853	-	YAR030C	
chrI	gene	186836	187732	+	YAR031W	PRM9
chrI	gene	188107	188811	+	YAR033W	MST28
chrI	gene	190193	192256	+	YAR035W	YAT1
chrI	gene	192337	192417	-	YAR035C-A	
chrI	gene	192619	196185	+	YAR042W	SWH1
chrI	gene	201467	201787	-	YAR047C	
chrI	gene	203403	208016	+	YAR050W	FLO1
chrI	gene	208367	208663	+	YAR053W	
chrI	gene	217157	217492	-	YAR060C	
chrI	gene	220198	220497	+	YAR064W	
chrI	gene	221049	221660	+	YAR066W	
chrI	gene	222406	222891	+	YAR068W	
chrI	gene	224011	224304	-	YAR069C	
chrI	gene	224563	224862	-	YAR070C	
chrI	gene	225460	226863	+	YAR071W	PHO11
chrI	gene	227742	228953	+	YAR073W	IMD1
chrI	gene	228844	229317	+	YAR075W	
chrII	gene	280	2658	-	YBL113C	
chrII	gene	646	1128	+	YBL113W-A	
chrII	gene	2582	2899	-	YBL112C	
chrII	gene	2907	5009	-	YBL111C	
chrII	gene	5790	6125	+	YBL109W	
chrII	gene	7605	7733	-	YBL108C-A	PAU9
chrII	gene	8177	8482	+	YBL108W	
chrII	gene	9268	9372	+	YBL107W-A	
chrII	gene	9961	10551	-	YBL107C	MIX23
chrII	gene	10847	13879	-	YBL106C	SRO77
chrII	gene	14241	17696	-	YBL105C	PKC1
chrII	gene	18177	21293	-	YBL104C	SEA4
chrII	gene	22076	23536	-	YBL103C	RTG3
chrII	gene	24098	24745	+	YBL102W	SFT2
chrII	gene	24946	28299	-	YBL101C	ECM21
chrII	gene	28427	28546	+	YBL100W-C	
chrII	gene	36989	37303	-	YBL100C	
chrII	gene	37053	38690	+	YBL099W	ATP1
chrII	gene	39145	40527	+	YBL098W	BNA4
chrII	gene	40831	43095	+	YBL097W	BRN1
chrII	gene	43174	43482	-	YBL096C	
chrII	gene	43277	44089	+	YBL095W	MRX3
chrII	gene	43765	44097	-	YBL094C	
chrII	gene	44256	44918	-	YBL093C	ROX3
chrII	gene	45645	46370	+	YBL092W	RPL32
chrII	gene	46565	47180	-	YBL091C-A	SCS22
chrII	gene	47363	48628	-	YBL091C	MAP2
chrII	gene	48825	49358	+	YBL090W	MRP21
chrII	gene	49574	50953	+	YBL089W	AVT5
chrII	gene	51019	59382	-	YBL088C	TEL1
chrII	gene	59822	60739	-	YBL087C	RPL23A
chrII	gene	61202	62602	-	YBL086C	
chrII	gene	63876	66818	+	YBL085W	BOI1
chrII	gene	67169	69445	-	YBL084C	CDC27
chrII	gene	69713	70138	-	YBL083C	
chrII	gene	69751	71127	-	YBL082C	ALG3
chrII	gene	71866	72972	+	YBL081W	
chrII	gene	73070	74695	-	YBL080C	PET112
chrII	gene	75259	79767	+	YBL079W	NUP170
chrII	gene	80378	80731	-	YBL078C	ATG8
chrII	gene	80897	81328	+	YBL077W	
chrII	gene	81043	84261	-	YBL076C	ILS1
chrII	gene	84499	86448	-	YBL075C	SSA3
chrII	gene	86722	87789	-	YBL074C	AAR2
chrII	gene	87646	87957	+	YBL073W	
chrII	gene	88523	89440	-	YBL072C	RPS8A
chrII	gene	89458	89556	-	YBL071C-B	
chrII	gene	89978	90226	+	YBL071W-A	KTI11
chrII	gene	90223	90531	-	YBL071C	
chrII	gene	90605	90925	-	YBL070C	
chrII	gene	90741	92030	+	YBL069W	AST1
chrII	gene	91794	92030	+	YBL068W-A	
chrII	gene	92414	93394	+	YBL068W	PRS4
chrII	gene	93639	95882	-	YBL067C	UBP13
chrII	gene	96669	100115	-	YBL066C	SEF1
chrII	gene	99963	100307	+	YBL065W	
chrII	gene	100371	101156	-	YBL064C	PRX1
chrII	gene	101886	105221	+	YBL063W	KIP1
chrII	gene	105308	105688	+	YBL062W	
chrII	gene	105316	107406	-	YBL061C	SKT5
chrII	gene	107932	109995	+	YBL060W	YEL1
chrII	gene	110125	110539	-	YBL059C-A	CMC2
chrII	gene	110594	111244	+	YBL059W	
chrII	gene	111437	112708	+	YBL058W	SHP1
chrII	gene	112801	113427	-	YBL057C	PTH2
chrII	gene	113762	115168	+	YBL056W	PTC3
chrII	gene	115573	116829	-	YBL055C	
chrII	gene	117589	119166	+	YBL054W	TOD6
chrII	gene	119335	119709	+	YBL053W	
chrII	gene	119379	121874	-	YBL052C	SAS3
chrII	gene	122753	124759	-	YBL051C	PIN4
chrII	gene	125125	126119	+	YBL050W	SEC17
chrII	gene	126828	127244	+	YBL049W	MOH1
chrII	gene	127299	127610	+	YBL048W	RRT1
chrII	gene	127895	132040	-	YBL047C	EDE1
chrII	gene	132424	133749	+	YBL046W	PSY4
chrII	gene	134143	135516	-	YBL045C	COR1
chrII	gene	135998	136366	+	YBL044W	
chrII	gene	136688	137461	+	YBL043W	ECM13
chrII	gene	138341	140260	-	YBL042C	FUI1
chrII	gene	141247	141972	+	YBL041W	PRE7
chrII	gene	142112	142868	-	YBL040C	ERD2
chrII	gene	143393	143572	+	YBL039W-B	
chrII	gene	143989	145728	-	YBL039C	URA7
chrII	gene	144948	145031	-	YBL039C-A	
chrII	gene	146187	146885	+	YBL038W	MRPL16
chrII	gene	147209	150286	+	YBL037W	APL3
chrII	gene	150447	151220	-	YBL036C	
chrII	gene	151493	153610	-	YBL035C	POL12
chrII	gene	153848	158389	-	YBL034C	STU1
chrII	gene	158656	159693	-	YBL033C	RIB1
chrII	gene	160184	161329	+	YBL032W	HEK2
chrII	gene	161699	162715	+	YBL031W	SHE1
chrII	gene	163041	163997	-	YBL030C	PET9
chrII	gene	164488	164772	-	YBL029C-A	
chrII	gene	166134	167264	+	YBL029W	
chrII	gene	167518	167838	-	YBL028C	
chrII	gene	168423	169376	+	YBL027W	RPL19B
chrII	gene	170623	171038	+	YBL026W	LSM2
chrII	gene	171481	171918	+	YBL025W	RRN10
chrII	gene	172534	174588	+	YBL024W	NCL1
chrII	gene	174920	177526	-	YBL023C	MCM2
chrII	gene	177874	181275	-	YBL022C	PIM1
chrII	gene	181660	182094	-	YBL021C	HAP3
chrII	gene	182401	184125	+	YBL020W	RFT1
chrII	gene	184353	185915	+	YBL019W	APN2
chrII	gene	185998	186474	-	YBL018C	POP8
chrII	gene	186844	191583	-	YBL017C	PEP1
chrII	gene	192451	193512	+	YBL016W	FUS3
chrII	gene	194122	195702	+	YBL015W	ACH1
chrII	gene	199064	201748	-	YBL014C	RRN6
chrII	gene	202056	203261	+	YBL013W	FMT1
chrII	gene	203406	203807	-	YBL012C	
chrII	gene	203538	205817	+	YBL011W	SCT1
chrII	gene	206107	206949	-	YBL010C	
chrII	gene	207194	209224	+	YBL009W	ALK2
chrII	gene	209409	209648	+	YBL008W-A	
chrII	gene	209653	212175	+	YBL008W	HIR1
chrII	gene	212632	216366	-	YBL007C	SLA1
chrII	gene	216587	217129	-	YBL006C	LDB7
chrII	gene	216711	216860	+	YBL006W-A	
chrII	gene	217470	220400	+	YBL005W	PDR3
chrII	gene	227636	235117	+	YBL004W	UTP20
chrII	gene	235394	235792	-	YBL003C	HTA2
chrII	gene	236492	236887	+	YBL002W	HTB2
chrII	gene	237153	237467	-	YBL001C	ECM15
chrII	gene	238941	241283	-	YBR001C	NTH2
chrII	gene	241708	242568	-	YBR002C	RER2
chrII	gene	242809	244230	+	YBR003W	COQ1
chrII	gene	244366	245667	-	YBR004C	GPI18
chrII	gene	245906	246547	+	YBR005W	RCR1
chrII	gene	247010	248503	+	YBR006W	UGA2
chrII	gene	248806	251016	-	YBR007C	DSF2
chrII	gene	252563	254209	-	YBR008C	FLR1
chrII	gene	255373	255684	-	YBR009C	HHF1
chrII	gene	256331	256741	+	YBR010W	HHT1
chrII	gene	257112	257975	-	YBR011C	IPP1
chrII	gene	259147	259566	-	YBR012C	
chrII	gene	265492	265881	-	YBR013C	
chrII	gene	266725	267336	-	YBR014C	GRX7
chrII	gene	267710	269503	-	YBR015C	MNN2
chrII	gene	270247	270633	+	YBR016W	
chrII	gene	270947	273703	-	YBR017C	KAP104
chrII	gene	274427	275527	-	YBR018C	GAL7
chrII	gene	276253	278352	-	YBR019C	GAL10
chrII	gene	279021	280607	+	YBR020W	GAL1
chrII	gene	281443	283344	+	YBR021W	FUR4
chrII	gene	283738	284271	+	YBR022W	POA1
chrII	gene	284428	287925	-	YBR023C	CHS3
chrII	gene	289445	290350	+	YBR024W	SCO2
chrII	gene	290681	291865	-	YBR025C	OLA1
chrII	gene	292877	294019	-	YBR026C	ETR1
chrII	gene	294024	294356	-	YBR027C	
chrII	gene	294425	296002	-	YBR028C	YPK3
chrII	gene	296369	297742	-	YBR029C	CDS1
chrII	gene	298292	299950	+	YBR030W	RKM3
chrII	gene	300166	301254	+	YBR031W	RPL4A
chrII	gene	301519	301821	+	YBR032W	
chrII	gene	301944	304703	+	YBR033W	EDS1
chrII	gene	304930	305976	-	YBR034C	HMT1
chrII	gene	306269	306955	-	YBR035C	PDX3
chrII	gene	309081	310313	-	YBR036C	CSG2
chrII	gene	310565	311452	-	YBR037C	SCO1
chrII	gene	311898	314789	+	YBR038W	CHS2
chrII	gene	315575	316510	+	YBR039W	ATP3
chrII	gene	316968	317864	+	YBR040W	FIG1
chrII	gene	318266	320275	+	YBR041W	FAT1
chrII	gene	320416	321609	-	YBR042C	CST26
chrII	gene	321876	323945	-	YBR043C	QDR3
chrII	gene	324341	326059	-	YBR044C	TCM62
chrII	gene	328173	330092	-	YBR045C	GIP1
chrII	gene	330507	331511	-	YBR046C	ZTA1
chrII	gene	331833	332360	+	YBR047W	FMP23
chrII	gene	332831	333812	+	YBR048W	RPS11B
chrII	gene	334386	336818	-	YBR049C	REB1
chrII	gene	337183	338199	-	YBR050C	REG2
chrII	gene	337988	338338	+	YBR051W	
chrII	gene	338720	339352	-	YBR052C	RFS1
chrII	gene	339675	340751	-	YBR053C	
chrII	gene	343101	344135	+	YBR054W	YRO2
chrII	gene	344602	347301	-	YBR055C	PRP6
chrII	gene	347879	349384	+	YBR056W	
chrII	gene	351255	351455	+	YBR056W-A	
chrII	gene	351293	351451	-	YBR056C-B	
chrII	gene	352193	353293	-	YBR057C	MUM2
chrII	gene	353672	356017	-	YBR058C	UBP14
chrII	gene	356324	356566	-	YBR058C-A	TSC3
chrII	gene	356861	360187	-	YBR059C	AKL1
chrII	gene	360652	362514	-	YBR060C	ORC2
chrII	gene	364787	365719	-	YBR061C	TRM7
chrII	gene	365976	366600	-	YBR062C	
chrII	gene	366970	368184	-	YBR063C	
chrII	gene	367763	368191	+	YBR064W	
chrII	gene	368584	369678	-	YBR065C	ECM2
chrII	gene	370037	370699	-	YBR066C	NRG2
chrII	gene	372103	372735	-	YBR067C	TIP1
chrII	gene	373861	375690	-	YBR068C	BAP2
chrII	gene	376574	378433	-	YBR069C	TAT1
chrII	gene	379221	379934	-	YBR070C	ALG14
chrII	gene	380411	381046	+	YBR071W	
chrII	gene	382030	382674	+	YBR072W	HSP26
chrII	gene	382860	383021	-	YBR072C-A	
chrII	gene	383112	385988	+	YBR073W	RDH54
chrII	gene	386286	389216	+	YBR074W	PFF1
chrII	gene	390227	391291	+	YBR076W	ECM8
chrII	gene	391351	391617	-	YBR076C-A	
chrII	gene	391805	392293	-	YBR077C	SLM4
chrII	gene	393123	394742	+	YBR078W	ECM33
chrII	gene	395383	398277	-	YBR079C	RPG1
chrII	gene	398614	400890	-	YBR080C	SEC18
chrII	gene	401253	405251	-	YBR081C	SPT7
chrII	gene	406628	407169	-	YBR082C	UBC4
chrII	gene	409169	410629	+	YBR083W	TEC1
chrII	gene	411054	413981	+	YBR084W	MIS1
chrII	gene	414186	415261	-	YBR084C-A	RPL19A
chrII	gene	415983	416906	+	YBR085W	AAC3
chrII	gene	418907	419164	-	YBR085C-A	
chrII	gene	420201	423041	-	YBR086C	IST2
chrII	gene	423765	424829	+	YBR087W	RFC5
chrII	gene	424990	425766	-	YBR088C	POL30
chrII	gene	425183	425782	+	YBR089W	
chrII	gene	426190	426873	-	YBR089C-A	NHP6B
chrII	gene	426333	427058	-	YBR090C	
chrII	gene	427155	427484	-	YBR091C	TIM12
chrII	gene	427698	429101	-	YBR092C	PHO3
chrII	gene	429548	430951	-	YBR093C	PHO5
chrII	gene	432036	434297	+	YBR094W	PBY1
chrII	gene	434406	435698	-	YBR095C	RXT2
chrII	gene	436021	436713	+	YBR096W	
chrII	gene	436951	441315	+	YBR097W	VPS15
chrII	gene	441515	443590	+	YBR098W	MMS4
chrII	gene	442924	443307	-	YBR099C	
chrII	gene	443821	444693	-	YBR101C	FES1
chrII	gene	445062	447323	-	YBR102C	EXO84
chrII	gene	447709	449316	+	YBR103W	SIF2
chrII	gene	449320	449463	-	YBR103C-A	
chrII	gene	449667	450656	+	YBR104W	YMC2
chrII	gene	450881	451969	-	YBR105C	VID24
chrII	gene	452658	453224	+	YBR106W	PHO88
chrII	gene	453793	454530	-	YBR107C	IML3
chrII	gene	454822	457665	+	YBR108W	AIM3
chrII	gene	457919	458362	-	YBR109C	CMD1
chrII	gene	458608	458832	+	YBR109W-A	
chrII	gene	458872	460221	+	YBR110W	ALG1
chrII	gene	461178	461873	-	YBR111C	YSA1
chrII	gene	462139	462579	+	YBR111W-A	SUS1
chrII	gene	462870	465770	-	YBR112C	CYC8
chrII	gene	465566	466048	+	YBR113W	
chrII	gene	467248	469620	+	YBR114W	RAD16
chrII	gene	469748	473926	-	YBR115C	LYS2
chrII	gene	474199	474726	-	YBR116C	
chrII	gene	474392	476437	-	YBR117C	TKL2
chrII	gene	477671	479047	+	YBR118W	TEF2
chrII	gene	479338	480323	+	YBR119W	MUD1
chrII	gene	480435	480923	-	YBR120C	CBP6
chrII	gene	481364	483367	-	YBR121C	GRS1
chrII	gene	482326	482484	-	YBR121C-A	
chrII	gene	483970	484503	-	YBR122C	MRPL36
chrII	gene	484742	486691	-	YBR123C	TFC1
chrII	gene	486507	486866	+	YBR124W	
chrII	gene	487199	488380	-	YBR125C	PTC4
chrII	gene	488905	490392	-	YBR126C	TPS1
chrII	gene	490850	491056	+	YBR126W-A	
chrII	gene	490927	491070	+	YBR126W-B	
chrII	gene	491269	492822	-	YBR127C	VMA2
chrII	gene	493081	494115	-	YBR128C	ATG14
chrII	gene	494353	495339	-	YBR129C	OPY1
chrII	gene	495592	496869	-	YBR130C	SHE3
chrII	gene	497163	499277	+	YBR131W	CCZ1
chrII	gene	497650	497739	-	YBR131C-A	
chrII	gene	499652	501442	-	YBR132C	AGP2
chrII	gene	501804	504287	-	YBR133C	HSL7
chrII	gene	504243	504644	+	YBR134W	
chrII	gene	504854	505306	+	YBR135W	CKS1
chrII	gene	505668	512774	+	YBR136W	MEC1
chrII	gene	513044	513583	+	YBR137W	
chrII	gene	513762	515336	-	YBR138C	
chrII	gene	515664	517190	+	YBR139W	
chrII	gene	517350	526628	-	YBR140C	IRA1
chrII	gene	527025	528038	-	YBR141C	BMT2
chrII	gene	527167	527262	+	YBR141W-A	
chrII	gene	528317	530638	+	YBR142W	MAK5
chrII	gene	530869	532182	-	YBR143C	SUP45
chrII	gene	533235	533549	-	YBR144C	
chrII	gene	533762	534817	+	YBR145W	ADH5
chrII	gene	535260	536096	+	YBR146W	MRPS9
chrII	gene	536575	537465	+	YBR147W	RTC2
chrII	gene	537876	539705	+	YBR148W	YSW1
chrII	gene	539987	541021	+	YBR149W	ARA1
chrII	gene	541209	544493	-	YBR150C	TBS1
chrII	gene	545028	545978	+	YBR151W	APD1
chrII	gene	546376	547251	+	YBR152W	SPP381
chrII	gene	547460	548194	+	YBR153W	RIB7
chrII	gene	548362	549009	-	YBR154C	RPB5
chrII	gene	549771	550928	+	YBR155W	CNS1
chrII	gene	551104	553200	-	YBR156C	SLI15
chrII	gene	553543	554310	-	YBR157C	ICS2
chrII	gene	556549	558198	+	YBR158W	AMN1
chrII	gene	558685	559728	+	YBR159W	IFA38
chrII	gene	560078	560974	+	YBR160W	CDC28
chrII	gene	561634	562764	+	YBR161W	CSH1
chrII	gene	563203	564570	-	YBR162C	TOS1
chrII	gene	565231	565428	+	YBR162W-A	YSY6
chrII	gene	565723	567480	+	YBR163W	EXO5
chrII	gene	567875	568426	-	YBR164C	ARL1
chrII	gene	568852	569685	+	YBR165W	UBS1
chrII	gene	569842	571200	-	YBR166C	TYR1
chrII	gene	571468	571890	-	YBR167C	POP7
chrII	gene	572371	573612	+	YBR168W	PEX32
chrII	gene	573915	575996	-	YBR169C	SSE2
chrII	gene	576344	578086	-	YBR170C	NPL4
chrII	gene	578364	578984	+	YBR171W	SEC66
chrII	gene	579150	581372	-	YBR172C	SMY2
chrII	gene	581726	582172	-	YBR173C	UMP1
chrII	gene	582338	582652	-	YBR174C	
chrII	gene	582408	583355	+	YBR175W	SWD3
chrII	gene	583720	584658	+	YBR176W	ECM31
chrII	gene	584807	586162	-	YBR177C	EHT1
chrII	gene	586071	586445	+	YBR178W	
chrII	gene	586547	589114	-	YBR179C	FZO1
chrII	gene	589741	591459	+	YBR180W	DTR1
chrII	gene	591712	592774	-	YBR181C	RPS6B
chrII	gene	593506	594864	-	YBR182C	SMP1
chrII	gene	595361	595555	-	YBR182C-A	
chrII	gene	596115	597065	+	YBR183W	YPC1
chrII	gene	597363	598934	+	YBR184W	
chrII	gene	599123	599959	-	YBR185C	MBA1
chrII	gene	600553	602360	+	YBR186W	PCH2
chrII	gene	602634	603476	+	YBR187W	GDT1
chrII	gene	603685	604107	-	YBR188C	NTC20
chrII	gene	604508	605508	+	YBR189W	RPS9B
chrII	gene	605966	606277	+	YBR190W	
chrII	gene	606270	607140	+	YBR191W	RPL21A
chrII	gene	607149	607223	+	YBR191W-A	
chrII	gene	607652	608785	+	YBR192W	RIM2
chrII	gene	609082	609753	-	YBR193C	MED8
chrII	gene	610038	610409	+	YBR194W	AIM4
chrII	gene	610614	611882	-	YBR195C	MSI1
chrII	gene	612236	613900	-	YBR196C	PGI1
chrII	gene	614024	614173	-	YBR196C-A	
chrII	gene	614526	614630	-	YBR196C-B	
chrII	gene	615203	615856	-	YBR197C	
chrII	gene	616127	618523	-	YBR198C	TAF5
chrII	gene	618909	620303	+	YBR199W	KTR4
chrII	gene	620872	622527	+	YBR200W	BEM1
chrII	gene	622983	623147	+	YBR200W-A	
chrII	gene	623576	624211	+	YBR201W	DER1
chrII	gene	624493	624696	-	YBR201C-A	
chrII	gene	625772	628309	+	YBR202W	MCM7
chrII	gene	629168	631942	+	YBR203W	COS111
chrII	gene	632254	633381	-	YBR204C	LDH1
chrII	gene	633622	634836	+	YBR205W	KTR3
chrII	gene	634601	634924	+	YBR206W	
chrII	gene	635146	636543	+	YBR207W	FTH1
chrII	gene	636703	642210	-	YBR208C	DUR1%2C2
chrII	gene	642583	642900	+	YBR209W	
chrII	gene	645550	645978	+	YBR210W	ERV15
chrII	gene	646158	647132	-	YBR211C	AME1
chrII	gene	647886	649904	+	YBR212W	NGR1
chrII	gene	650368	651192	+	YBR213W	MET8
chrII	gene	651415	652998	+	YBR214W	SDS24
chrII	gene	653356	655317	+	YBR215W	HPC2
chrII	gene	655576	657600	-	YBR216C	YBP1
chrII	gene	657832	658392	+	YBR217W	ATG12
chrII	gene	658707	662249	-	YBR218C	PYC2
chrII	gene	662499	663303	-	YBR219C	
chrII	gene	662995	664677	-	YBR220C	
chrII	gene	665153	666253	-	YBR221C	PDB1
chrII	gene	666538	666642	+	YBR221W-A	
chrII	gene	666720	668351	-	YBR222C	PCS60
chrII	gene	668663	670297	-	YBR223C	TDP1
chrII	gene	668721	668840	+	YBR223W-A	
chrII	gene	670125	670640	+	YBR224W	
chrII	gene	670627	673329	+	YBR225W	
chrII	gene	673155	673565	-	YBR226C	
chrII	gene	673572	675134	-	YBR227C	MCX1
chrII	gene	675313	676227	+	YBR228W	SLX1
chrII	gene	676357	679221	-	YBR229C	ROT2
chrII	gene	679549	680050	-	YBR230C	OM14
chrII	gene	680362	680562	+	YBR230W-A	
chrII	gene	682179	683090	-	YBR231C	SWC5
chrII	gene	683373	683732	-	YBR232C	
chrII	gene	683428	684669	+	YBR233W	PBP2
chrII	gene	684977	685261	+	YBR233W-A	DAD3
chrII	gene	685438	686592	-	YBR234C	ARC40
chrII	gene	686901	690263	+	YBR235W	VHC1
chrII	gene	690383	691693	-	YBR236C	ABD1
chrII	gene	691969	694518	+	YBR237W	PRP5
chrII	gene	695107	697302	-	YBR238C	
chrII	gene	698354	699943	-	YBR239C	ERT1
chrII	gene	700490	701842	-	YBR240C	THI2
chrII	gene	702589	704055	-	YBR241C	
chrII	gene	704670	705386	+	YBR242W	
chrII	gene	705447	706793	-	YBR243C	ALG7
chrII	gene	707528	708016	+	YBR244W	GPX2
chrII	gene	708150	711539	-	YBR245C	ISW1
chrII	gene	711591	712754	+	YBR246W	RRT2
chrII	gene	713004	714455	-	YBR247C	ENP1
chrII	gene	714807	716465	-	YBR248C	HIS7
chrII	gene	716882	717994	-	YBR249C	ARO4
chrII	gene	719033	720604	+	YBR250W	SPO23
chrII	gene	721390	722313	+	YBR251W	MRPS5
chrII	gene	722611	723054	+	YBR252W	DUT1
chrII	gene	723270	723635	+	YBR253W	SRB6
chrII	gene	723736	724263	-	YBR254C	TRS20
chrII	gene	724456	726540	+	YBR255W	MTC4
chrII	gene	726618	727074	-	YBR255C-A	
chrII	gene	727386	728102	-	YBR256C	RIB5
chrII	gene	728885	729724	+	YBR257W	POP4
chrII	gene	729734	730162	-	YBR258C	SHG1
chrII	gene	730387	732453	+	YBR259W	
chrII	gene	732639	734639	-	YBR260C	RGD1
chrII	gene	734832	735530	-	YBR261C	TAE1
chrII	gene	735720	736040	-	YBR262C	MIC12
chrII	gene	736264	737736	+	YBR263W	SHM1
chrII	gene	737770	738369	-	YBR264C	YPT10
chrII	gene	738582	739544	+	YBR265W	TSC10
chrII	gene	739841	741022	+	YBR267W	REI1
chrII	gene	739936	740388	-	YBR266C	SLM6
chrII	gene	741299	741616	+	YBR268W	MRPL37
chrII	gene	742160	742576	-	YBR269C	SDH8
chrII	gene	742761	744398	-	YBR270C	BIT2
chrII	gene	744852	746111	+	YBR271W	EFM2
chrII	gene	746361	747803	-	YBR272C	HSM3
chrII	gene	748061	749371	-	YBR273C	UBX7
chrII	gene	749594	751177	+	YBR274W	CHK1
chrII	gene	751356	757106	-	YBR275C	RIF1
chrII	gene	757620	760043	-	YBR276C	PPS1
chrII	gene	760215	760616	-	YBR277C	
