chr	site	strand	count
chrI	139199	+	12
chrI	139200	+	2
chrI	139201	+	3
chrI	139202	+	18
chrI	139204	+	8
chrI	139210	+	3
chrI	139218	+	1
chrI	139227	+	4
chrI	139235	+	2
chrI	139237	+	2
chrI	139238	+	1
chrI	139240	+	1
chrI	139438	-	1
chrI	139468	-	4
chrI	139492	-	6
chrI	139520	-	1
chrI	139550	-	2
chrI	139565	-	1
chrI	139570	-	9
chrI	139624	-	2
chrI	139625	-	3
chrI	139743	-	3
chrI	139880	-	3
chrI	139895	-	2
chrI	139909	-	1
chrI	139910	-	13
chrI	139918	-	12
chrI	139930	-	2
chrI	139931	-	1
chrI	139932	-	51
chrI	139947	-	2
chrI	139949	-	1
chrI	139950	-	16
chrI	139967	-	2
chrI	139973	-	2
chrI	139974	-	1
chrI	139975	-	70
chrI	139980	-	1
chrI	139984	-	5
chrI	140010	-	4
chrI	140028	-	1
chrI	140034	-	1
chrI	140035	-	2
chrI	140036	-	112
chrI	140050	-	23
chrI	140051	-	10
chrI	140094	-	3
chrI	140131	-	99
chrI	140141	-	2
chrI	140194	-	2
chrI	140198	-	5
chrI	140237	-	1
chrI	140243	-	2
chrI	140244	-	81
chrI	140258	-	1
chrI	140260	-	14
chrI	140262	-	2
chrI	140263	-	2
chrI	140264	-	4
chrI	140304	-	1
chrI	140327	-	50
chrI	140331	-	13
chrI	140359	-	55
chrI	140384	-	4
chrI	140385	-	1
chrI	140393	-	2
chrI	140402	-	3
chrI	140404	-	2
chrI	140436	-	3
chrI	140441	-	1
chrI	140506	-	1
chrI	140509	-	1
chrI	140514	-	43
chrI	140529	-	1
chrI	140537	-	1
chrI	140566	-	12
chrI	140571	-	3
chrI	140584	-	3
chrI	140590	-	1
chrI	140624	-	1
chrI	140625	-	46
chrI	140654	-	1
chrI	140685	-	17
chrI	140709	-	4
chrI	140717	-	2
chrI	140745	-	1
chrI	140747	-	2
chrI	140760	-	69
chrI	140792	-	44
chrI	140807	-	2
chrI	140808	-	15
chrI	140844	-	7
chrI	140850	-	1
chrI	140851	-	7
chrI	140852	-	4
chrI	140858	-	1
chrI	140880	-	1
chrI	140888	-	1
chrI	140890	-	3
chrI	140921	-	6
chrI	140922	-	2
chrI	140978	-	2
chrI	140991	-	1
chrI	141078	-	2
chrI	141081	-	1
chrI	141123	-	61
chrI	141128	-	1
chrI	141236	-	2
chrI	141237	-	10
chrI	141239	-	1
chrI	141241	-	1
chrI	141242	-	1
chrI	141243	-	70
chrI	141246	-	8
chrI	141248	-	72
chrI	141252	-	3
chrI	141255	-	56
chrI	141265	-	5
chrI	141272	-	15
chrI	141304	-	2
chrI	141305	-	1
chrI	141309	-	2
chrI	141310	-	2
chrI	141322	-	106
chrI	141325	-	3
chrI	141356	-	2
chrI	141357	-	39
chrI	141371	-	1
chrI	141380	-	1
chrI	141390	-	3
chrI	141453	-	5
chrI	141485	-	3
chrI	142139	+	1
chrI	142158	+	1
chrI	142173	+	1
chrI	142188	+	1
chrI	142223	+	4
chrI	142266	+	3
chrI	142303	+	34
chrI	142304	+	2
chrI	142308	+	13
chrI	142362	+	3
chrI	142364	+	1
chrI	142365	+	55
chrI	142366	+	75
chrI	142367	+	13
chrI	142368	+	5
chrI	142371	+	10
chrI	142372	+	22
chrI	142373	+	1
chrI	142374	+	5
chrI	142377	+	44
chrI	142378	+	146
chrI	142379	+	114
chrI	142380	+	39
chrI	142381	+	53
chrI	142382	+	50
chrI	142383	+	78
chrI	142384	+	59
chrI	142385	+	3
chrI	142386	+	86
chrI	142387	+	245
chrI	142388	+	142
chrI	142389	+	55
chrI	142390	+	174
chrI	142391	+	7
chrI	142392	+	7
chrI	142393	+	1
chrI	142395	+	136
chrI	142396	+	8
chrI	142397	+	561
chrI	142398	+	171
chrI	142399	+	101
chrI	142400	+	74
chrI	142401	+	142
chrI	142402	+	5
chrI	142403	+	3
chrI	142404	+	216
chrI	142405	+	1
chrI	142408	+	155
chrI	142409	+	29
chrI	142410	+	3
chrI	142411	+	101
chrI	142412	+	2
chrI	142415	+	217
chrI	142416	+	5
chrI	142417	+	28
chrI	142419	+	86
chrI	142420	+	6
chrI	142421	+	5
chrI	142422	+	2
chrI	142423	+	1
chrI	142424	+	45
chrI	142426	+	3
chrI	142427	+	1
chrI	142429	+	42
chrI	142430	+	4
chrI	142431	+	6
chrI	142433	+	10
chrI	142436	+	3
chrI	142437	+	3
chrI	142448	+	1
chrI	142468	+	16
chrI	142499	+	1
chrI	142511	+	2
chrI	142512	+	26
chrI	142524	+	6
chrI	142527	+	46
chrI	142580	+	11
chrI	142609	+	24
chrI	142622	+	2
chrI	142629	+	4
chrI	142632	+	9
chrI	142633	+	1
chrI	142636	+	7
chrI	142637	+	44
chrI	142639	+	1
chrI	142640	+	11
chrI	142652	+	3
chrI	142658	+	2
chrI	142675	+	38
chrI	142677	+	2
chrI	142681	+	13
chrI	142682	+	11
chrI	142683	+	1
chrI	142684	+	125
chrI	142685	+	1
chrI	142686	+	2
chrI	142693	+	62
chrI	142694	+	6
chrI	142698	+	6
chrI	142701	+	1
chrI	142733	+	155
chrI	142734	+	1
chrI	142748	+	1
chrI	142759	+	1
chrI	142771	+	1
chrI	142778	+	59
chrI	142779	+	3
chrI	142780	+	9
chrI	142781	+	1
chrI	142795	+	4
chrI	142826	+	1
chrI	142845	+	2
chrI	142848	+	1
chrI	142858	+	8
chrI	142859	+	102
chrI	142860	+	1
chrI	142861	+	1
chrI	142862	+	5
chrI	142894	+	2
chrI	142903	+	8
chrI	142904	+	3
chrI	142943	+	1
chrI	143013	+	1
chrI	143031	+	80
chrI	143032	+	4
chrI	143033	+	9
chrI	143101	+	1
chrI	143102	+	8
chrI	143103	+	4
chrI	143145	+	1
chrI	143154	+	2
chrI	143169	+	29
chrI	143171	+	4
chrI	143204	+	1
chrI	143212	+	3
chrI	143217	+	16
chrI	143218	+	1
chrI	143219	+	1
chrI	143230	+	32
chrI	143233	+	1
chrI	143234	+	3
chrI	143238	+	4
chrI	143247	+	1
chrI	143251	+	1
chrI	143256	+	4
chrI	143262	+	49
chrI	143263	+	2
chrI	143265	+	1
chrI	143266	+	1
chrI	143271	+	1
chrI	143272	+	8
chrI	143284	+	3
chrI	143288	+	1
chrI	143297	+	9
chrI	143322	+	3
chrI	143330	+	2
chrI	143331	+	1
chrI	143333	+	1
chrI	143867	+	34
chrI	150405	-	16
chrI	150498	-	8
chrI	150965	-	2
chrI	151091	-	5
chrI	151092	-	10
chrI	152290	+	2
chrI	153782	+	1
chrI	154346	-	2
chrI	154699	-	1
chrI	154717	-	9
chrI	155434	+	5
chrI	157657	-	15
chrI	160343	-	1
chrI	160521	-	1
chrI	161345	-	1
chrI	161346	-	20
chrI	161350	-	1
chrI	162119	-	1
chrI	162126	-	1
chrI	162133	-	1
chrI	162583	-	1
chrI	163633	-	1
chrI	163804	-	1
chrI	163807	-	1
chrI	163809	-	2
chrI	164075	-	17
chrI	164087	-	1
chrI	164088	-	2
chrI	164092	-	1
chrI	164152	-	1
chrI	164650	-	2
chrI	164658	-	1
chrI	165320	-	2
chrI	165853	-	1
chrI	165873	-	1
chrI	165883	-	2
chrI	166253	+	1
chrI	166256	+	1
chrI	166259	+	30
chrI	166260	+	31
chrI	166261	+	1
chrI	166263	+	1
chrI	166264	+	520
chrI	166265	+	13
chrI	166266	+	2
chrI	166272	+	12
chrI	166273	+	1
chrI	166274	+	1
chrI	166275	+	1
chrI	166281	+	1
chrI	166285	+	1
chrI	166295	+	1
chrI	166297	+	1
chrI	166298	+	15
chrI	166299	+	157
chrI	166300	+	5
chrI	166301	+	3
chrI	166302	+	3
chrI	166312	+	1
chrI	166367	+	4
chrI	166376	+	4
chrI	166480	+	1
chrI	166481	+	4
chrI	166483	+	1
chrI	167603	-	122
chrI	168483	+	1
chrI	168561	-	6
chrI	168671	-	2
chrI	169300	+	1
chrI	169371	+	13
chrI	169372	+	1
chrI	169405	+	1
chrI	169443	+	1
chrI	169444	+	70
chrI	169445	+	1
chrI	169446	+	1
chrI	169448	+	1
chrI	169630	+	2
chrI	169650	+	1
chrI	169652	+	42
chrI	169764	+	2
chrI	169770	+	1
chrI	169771	+	56
chrI	169825	+	2
chrI	169849	+	6
chrI	169857	+	126
chrI	169858	+	2
chrI	169859	+	1
chrI	169862	+	1
chrI	170096	+	1
chrI	170109	+	2
chrI	170110	+	44
chrI	170112	+	1
chrI	170245	+	2
chrI	170394	+	1
chrI	170543	-	1
chrI	170630	-	1
chrI	172180	+	2
chrI	172753	+	1
chrI	173968	-	4
chrI	173969	-	64
chrI	175500	+	32
chrI	175502	+	1
chrI	175602	+	4
chrI	175637	+	1
chrI	176244	+	1
chrI	177827	-	2
chrI	179278	+	106
chrI	179279	+	3
chrI	179280	+	2
chrI	179525	-	1
chrI	179526	-	2
chrI	179527	-	72
chrI	181129	+	16
chrI	181130	+	100
chrI	181131	+	1
chrI	181132	+	3
chrI	181134	+	3
chrI	181135	+	3
chrI	181136	+	10
chrI	181138	+	5
chrI	181139	+	507
chrI	181140	+	311
chrI	181141	+	164
chrI	181142	+	38
chrI	181143	+	6
chrI	181144	+	2
chrI	181145	+	214
chrI	181146	+	61
chrI	181147	+	10
chrI	181148	+	5
chrI	181149	+	1
chrI	181150	+	5
chrI	181151	+	26
chrI	181154	+	96
chrI	181155	+	57
chrI	181156	+	5
chrI	181157	+	2
chrI	181158	+	24
chrI	181159	+	12
chrI	181160	+	200
chrI	181161	+	88
chrI	181162	+	199
chrI	181163	+	1
chrI	181164	+	15
chrI	181165	+	86
chrI	181167	+	100
chrI	181169	+	1
chrI	181170	+	2
chrI	181171	+	17
chrI	181172	+	224
chrI	181173	+	274
chrI	181174	+	55
chrI	181175	+	77
chrI	181177	+	2
chrI	181178	+	51
chrI	181179	+	35
chrI	181180	+	714
chrI	181181	+	241
chrI	181182	+	162
chrI	181183	+	140
chrI	181184	+	53
chrI	181185	+	48
chrI	181186	+	4
chrI	181187	+	7
chrI	181188	+	5
chrI	181189	+	2
chrI	181191	+	1
chrI	181193	+	41
chrI	181195	+	117
chrI	181197	+	3
chrI	181198	+	1
chrI	181204	+	1
chrI	181206	+	1
chrI	181208	+	3
chrI	181209	+	10
chrI	181210	+	42
chrI	181211	+	4
chrI	181222	+	1
chrI	181223	+	8
chrI	181232	+	1
chrI	181244	+	1
chrI	182496	-	3
chrI	182497	-	1
chrI	182498	-	118
chrI	182499	-	2
chrI	182501	-	3
chrI	182560	-	2
chrI	182563	-	4
chrI	182564	-	11
chrI	182567	-	23
chrI	182568	-	14
chrI	182569	-	20
chrI	182570	-	20
chrI	182571	-	8
chrI	182572	-	1
chrI	182573	-	35
chrI	182574	-	21
chrI	182575	-	4
chrI	182576	-	3
chrI	182577	-	4
chrI	182578	-	38
chrI	182579	-	1
chrI	182581	-	4
chrI	182583	-	32
chrI	182584	-	37
chrI	182585	-	7
chrI	182586	-	29
chrI	182587	-	2
chrI	182588	-	6
chrI	182589	-	2
chrI	182590	-	3
chrI	182592	-	4
chrI	182593	-	13
chrI	182594	-	4
chrI	182595	-	2
chrI	182596	-	1
chrI	182597	-	18
chrI	182599	-	1
chrI	182600	-	13
chrI	182601	-	2
chrI	182602	-	22
chrI	182603	-	38
chrI	182604	-	35
chrI	182605	-	195
chrI	182606	-	3
chrI	182607	-	914
chrI	182608	-	4
chrI	182609	-	6
chrI	182612	-	2
chrI	182613	-	2
chrI	182614	-	114
chrI	182619	-	3
chrI	183154	-	2
chrI	183345	-	7
chrI	183490	-	1
chrI	183709	+	2
chrI	183781	+	120
chrI	183782	+	3
chrI	183783	+	2
chrI	183899	-	2
chrI	184722	+	1
chrI	186392	-	1
chrI	186877	-	2
chrI	188117	+	1
chrI	188551	-	3
chrI	188703	+	22
chrI	188704	+	2
chrI	189509	-	3
chrI	192846	+	2
chrI	193143	+	17
chrI	193144	+	1
chrI	193145	+	1
chrI	193154	+	10
chrI	193155	+	1
chrI	193626	+	1
chrI	193628	+	36
chrI	193643	+	2
chrI	193650	+	7
chrI	193997	+	11
chrI	195060	-	1
chrI	195616	+	1
chrI	196129	+	1
chrI	196165	+	1
chrI	197128	-	1
chrI	197133	-	1
chrI	200860	+	14
chrI	219455	+	1
chrI	222591	+	24
chrI	225341	+	119
chrI	225412	-	1
chrI	225416	-	1
chrI	225804	+	4
chrI	33328	+	77
chrI	33329	+	2
chrI	33330	+	2
chrI	33524	-	6
chrI	33535	-	9
chrI	33589	+	13
chrI	33636	+	5
chrI	33668	+	8
chrI	34143	-	4
chrI	34341	-	1
chrI	39333	+	33
chrI	40446	+	6
chrI	43463	+	1
chrI	43754	+	1
chrI	46024	+	1
chrI	46026	+	1
chrI	46051	+	93
chrI	46052	+	2
chrI	46085	+	6
chrI	46104	+	14
chrI	46453	+	4
chrI	46675	+	72
chrI	46866	+	22
chrI	46867	+	1
chrI	47143	+	28
chrI	47144	+	1
chrI	47302	+	1
chrI	47684	+	20
chrI	47699	+	56
chrI	47700	+	1
chrI	47779	+	17
chrI	48138	+	1
chrI	48655	+	1
chrI	48656	+	34
chrI	48756	+	1
chrI	49207	+	1
chrI	49334	+	1
chrI	49504	+	3
chrI	49537	+	1
chrI	49890	+	7
chrI	51875	-	1
chrI	51887	-	24
chrI	54506	-	14
chrI	57768	+	1
chrI	57907	-	3
chrI	57908	-	19
chrI	58093	-	1
chrI	60899	-	7
chrI	61462	+	6
chrI	62106	+	1
chrI	62606	+	1
chrI	62907	+	43
chrI	62908	+	2
chrI	62917	+	7
chrI	63175	+	33
chrI	63177	+	1
chrI	63217	+	1
chrI	63591	+	1
chrI	63880	+	1
chrI	63927	+	39
chrI	65631	-	1
chrI	65804	-	3
chrI	65983	-	1
chrI	66691	-	1
chrI	66693	-	8
chrI	66970	-	7
chrI	66979	-	7
chrI	67086	-	1
chrI	67088	-	13
chrI	67151	-	18
chrI	67268	-	1
chrI	67511	-	2
chrI	67512	-	5
chrI	67553	-	2
chrI	67647	-	1
chrI	67648	-	4
chrI	67739	-	1
chrI	67741	-	2
chrI	67842	-	45
chrI	67843	-	1
chrI	71743	+	20
chrI	71744	+	1
chrI	71745	+	2
chrI	71758	+	10
chrI	71762	+	20
chrI	71772	+	4
chrI	71775	+	1
chrI	71792	+	1
chrI	71798	+	5
chrI	71802	+	1
chrI	71803	+	4
chrI	71814	+	37
chrI	71816	+	1
chrI	71817	+	1
chrI	71836	+	6
chrI	71837	+	1
chrI	71841	+	1
chrI	71852	+	1
chrI	71855	+	2
chrI	71863	+	20
chrI	71864	+	5
chrI	71865	+	4
chrI	71890	+	11
chrI	71920	+	1
chrI	71924	+	55
chrI	71927	+	3
chrI	71928	+	3
chrI	71929	+	1
chrI	71940	+	9
chrI	71945	+	13
chrI	71946	+	1
chrI	71952	+	2
chrI	71953	+	75
chrI	71954	+	2
chrI	71959	+	22
chrI	71963	+	1
chrI	71965	+	2
chrI	71966	+	1
chrI	71971	+	1
chrI	71975	+	43
chrI	71977	+	1
chrI	71981	+	1
chrI	71982	+	1
chrI	71984	+	1
chrI	72000	+	15
chrI	72002	+	10
chrI	72024	+	3
chrI	72029	+	6
chrI	72031	+	1
chrI	72050	+	5
chrI	72054	+	7
chrI	72056	+	1
chrI	72059	+	36
chrI	72060	+	62
chrI	72061	+	1
chrI	72062	+	9
chrI	72065	+	1
chrI	72069	+	2
chrI	72075	+	1
chrI	72080	+	1
chrI	72094	+	1
chrI	72095	+	2
chrI	72099	+	25
chrI	72115	+	65
chrI	72116	+	25
chrI	72117	+	2
chrI	72118	+	105
chrI	72119	+	2
chrI	72120	+	3
chrI	72122	+	2
chrI	72153	+	2
chrI	72154	+	31
chrI	72173	+	1
chrI	72174	+	4
chrI	72187	+	2
chrI	72230	+	2
chrI	72232	+	7
chrI	72247	+	1
chrI	72257	+	1
chrI	72259	+	18
chrI	72277	+	8
chrI	72284	+	3
chrI	72285	+	25
chrI	72288	+	31
chrI	72291	+	13
chrI	72301	+	2
chrI	72303	+	1
chrI	72333	+	18
chrI	72338	+	1
chrI	72340	+	2
chrI	72345	+	1
chrI	72355	+	94
chrI	72356	+	1
chrI	72357	+	3
chrI	72362	+	1
chrI	72379	+	4
chrI	72385	+	6
chrI	72386	+	1
chrI	72404	+	2
chrI	72407	+	8
chrI	72409	+	35
chrI	72413	+	1
chrI	72415	+	7
chrI	72423	+	202
chrI	72424	+	7
chrI	72425	+	11
chrI	72426	+	1
chrI	72427	+	1
chrI	72435	+	5
chrI	72438	+	2
chrI	72439	+	1
chrI	72448	+	6
chrI	72449	+	2
chrI	72463	+	1
chrI	72477	+	13
chrI	72521	+	2
chrI	72535	+	1
chrI	72540	+	1
chrI	72548	+	9
chrI	72558	+	7
chrI	72563	+	6
chrI	72564	+	4
chrI	72565	+	71
chrI	72566	+	1
chrI	72567	+	2
chrI	72568	+	10
chrI	72589	+	2
chrI	72593	+	2
chrI	72603	+	5
chrI	72618	+	7
chrI	72630	+	1
chrI	72633	+	65
chrI	72634	+	2
chrI	72666	+	118
chrI	72667	+	3
chrI	72669	+	18
chrI	72680	+	20
chrI	72692	+	1
chrI	72693	+	1
chrI	72694	+	16
chrI	72702	+	2
chrI	72703	+	35
chrI	72713	+	5
chrI	72715	+	1
chrI	72717	+	1
chrI	72735	+	55
chrI	72737	+	21
chrI	72741	+	1
chrI	72743	+	4
chrI	72747	+	2
chrI	72751	+	5
chrI	72775	+	1
chrI	72778	+	80
chrI	72779	+	3
chrI	72787	+	1
chrI	72794	+	20
chrI	72797	+	1
chrI	72806	+	1
chrI	72807	+	85
chrI	72808	+	1
chrI	72809	+	2
chrI	72812	+	1
chrI	72820	+	9
chrI	72822	+	1
chrI	72833	+	6
chrI	72834	+	3
chrI	72835	+	27
chrI	72843	+	1
chrI	72844	+	35
chrI	72845	+	73
chrI	72847	+	10
chrI	72849	+	4
chrI	72851	+	2
chrI	72860	+	23
chrI	72861	+	1
chrI	72862	+	2
chrI	72864	+	1
chrI	72865	+	23
chrI	72866	+	1
chrI	72875	+	2
chrI	72878	+	28
chrI	72879	+	18
chrI	72885	+	1
chrI	72886	+	23
chrI	72888	+	181
chrI	72889	+	1
chrI	72890	+	1
chrI	72891	+	1
chrI	72893	+	55
chrI	72894	+	61
chrI	72895	+	1
chrI	72896	+	107
chrI	72897	+	1
chrI	72900	+	32
chrI	72901	+	2
chrI	72904	+	2
chrI	72906	+	14
chrI	72909	+	15
chrI	72910	+	18
chrI	72912	+	23
chrI	72915	+	2
chrI	72917	+	15
chrI	72918	+	1
chrI	72927	+	2
chrI	72928	+	1
chrI	72932	+	6
chrI	72943	+	4
chrI	72953	+	16
chrI	72954	+	7
chrI	72956	+	29
chrI	72957	+	1
chrI	72958	+	1
chrI	72964	+	10
chrI	72975	+	16
chrI	72976	+	1
chrI	72979	+	13
chrI	72982	+	6
chrI	72987	+	3
chrI	72989	+	2
chrI	72993	+	2
chrI	72998	+	1
chrI	72999	+	2
chrI	73000	+	1
chrI	73002	+	1
chrI	73007	+	22
chrI	73016	+	13
chrI	73017	+	1
chrI	73018	+	4
chrI	73020	+	22
chrI	73021	+	35
chrI	73045	+	1
chrI	73048	+	102
chrI	73049	+	4
chrI	73050	+	2
chrI	73051	+	2
chrI	73053	+	40
chrI	73054	+	1
chrI	73063	+	7
chrI	73078	+	8
chrI	73086	+	3
chrI	73087	+	3
chrI	73090	+	20
chrI	73091	+	1
chrI	73107	+	2
chrI	73114	+	74
chrI	73115	+	27
chrI	73116	+	99
chrI	73118	+	1
chrI	73130	+	8
chrI	73131	+	1
chrI	73132	+	1
chrI	73136	+	3
chrI	73147	+	4
chrI	73151	+	3
chrI	73184	+	2
chrI	73186	+	15
chrI	73199	+	13
chrI	73217	+	15
chrI	73218	+	1
chrI	73219	+	18
chrI	73220	+	25
chrI	73224	+	1
chrI	73225	+	54
chrI	73232	+	2
chrI	73236	+	12
chrI	73238	+	12
chrI	73239	+	22
chrI	73250	+	2
chrI	73257	+	1
chrI	73261	+	1
chrI	73274	+	1
chrI	73296	+	2
chrI	73298	+	1
chrI	73321	+	11
chrI	73322	+	5
chrI	73329	+	3
chrI	73336	+	2
chrI	73338	+	1
chrI	73339	+	7
chrI	73345	+	2
chrI	73346	+	2
chrI	73347	+	2
chrI	73349	+	1
chrI	73352	+	1
chrI	73363	+	1
chrI	73364	+	1
chrI	73366	+	1
chrI	73371	+	1
chrI	73374	+	5
chrI	73376	+	1
chrI	73386	+	1
chrI	73388	+	1
chrI	73393	+	14
chrI	73400	+	1
chrI	73411	+	1
chrI	73415	+	3
chrI	73417	+	1
chrI	73418	+	2
chrI	73424	+	6
chrI	74888	-	1
chrI	74901	-	3
chrI	75020	-	1
chrI	75352	-	1
chrI	75353	-	7
chrI	75580	-	1
chrI	76021	-	1
chrI	76031	-	34
chrI	76517	+	12
chrI	76533	+	1
chrI	76955	+	1
chrI	76958	+	52
chrI	77108	+	2
chrI	77127	+	25
chrI	77332	+	2
chrI	77451	+	16
chrI	77474	+	1
chrI	77537	-	1
chrI	77863	+	2
chrI	77881	+	2
chrI	77936	+	2
chrI	77998	+	1
chrI	78205	+	3
chrI	78353	+	13
chrI	78410	+	2
chrI	78730	+	30
chrI	78731	+	2
chrI	79011	+	9
chrI	79012	+	1
chrI	79020	+	2
chrI	79027	+	2
chrI	79418	+	8
chrI	79419	+	1
chrI	82600	+	1
chrI	84462	-	6
chrI	86518	-	1
chrI	86975	-	9
chrI	87328	+	1
chrI	88708	-	1
chrI	88710	-	12
chrI	89167	-	1
chrI	90915	-	1
chrI	91226	-	1
chrI	91227	-	1
chrI	91228	-	2
chrI	91229	-	183
chrI	91342	-	2
chrI	91466	-	2
chrI	92334	-	2
chrI	92436	-	1
chrI	96042	-	1
chrI	96595	-	4
chrI	96871	-	1
chrI	96964	+	3
chrI	98569	-	1
chrI	98570	-	18
chrI	98947	-	1
chrII	100038	-	20
chrII	100776	-	33
chrII	100951	-	1
chrII	101139	-	1
chrII	105441	-	3
chrII	107711	+	3
chrII	107712	+	1
chrII	109242	+	12
chrII	110099	-	2
chrII	110536	-	1
chrII	111405	+	1
chrII	111435	+	3
chrII	111464	+	6
chrII	111478	+	1
chrII	111539	+	2
chrII	111590	+	35
chrII	111849	+	1
chrII	111981	+	26
chrII	112031	+	1
chrII	112150	+	1
chrII	112949	-	3
chrII	113226	-	10
chrII	113724	+	15
chrII	113726	+	1
chrII	113763	+	1
chrII	113786	+	2
chrII	113808	+	1
chrII	113878	+	1
chrII	113884	+	1
chrII	113941	+	1
chrII	113992	+	1
chrII	114216	+	1
chrII	114410	+	18
chrII	114538	+	83
chrII	114539	+	2
chrII	114540	+	1
chrII	114734	+	66
chrII	114735	+	6
chrII	115027	+	9
chrII	115028	+	1
chrII	115092	+	1
chrII	115127	+	1
chrII	115254	+	44
chrII	115255	+	5
chrII	115256	+	1
chrII	115259	+	1
chrII	115315	+	7
chrII	115316	+	1
chrII	115376	+	43
chrII	115377	+	3
chrII	115378	+	1
chrII	115581	-	1
chrII	115582	-	1
chrII	115717	-	16
chrII	116381	-	1
chrII	116415	-	10
chrII	116419	-	3
chrII	117483	+	4
chrII	118269	+	13
chrII	118641	+	4
chrII	118677	+	1
chrII	122346	-	5
chrII	122785	-	1
chrII	122786	-	1
chrII	122787	-	13
chrII	123836	-	6
chrII	123887	-	3
chrII	123984	-	3
chrII	124219	-	1
chrII	124252	-	1
chrII	124326	-	1
chrII	124327	-	4
chrII	124444	-	1
chrII	124472	-	2
chrII	124631	-	1
chrII	124632	-	53
chrII	124633	-	1
chrII	124809	-	3
chrII	125108	+	12
chrII	125357	+	69
chrII	125377	+	3
chrII	125490	+	4
chrII	125520	+	3
chrII	125623	+	3
chrII	125854	+	2
chrII	12639	-	4
chrII	128378	-	9
chrII	128689	-	1
chrII	128701	-	39
chrII	130284	-	4
chrII	130315	-	1
chrII	130992	-	24
chrII	131143	-	1
chrII	131370	-	1
chrII	131371	-	58
chrII	131650	-	2
chrII	132061	-	18
chrII	132163	-	1
chrII	132164	-	9
chrII	132485	+	13
chrII	132535	+	28
chrII	135023	-	2
chrII	135024	-	65
chrII	135286	-	7
chrII	135301	-	19
chrII	137677	-	1
chrII	137679	-	1
chrII	140026	-	47
chrII	140027	-	1
chrII	140309	-	1
chrII	140310	-	3
chrII	140311	-	42
chrII	141302	+	39
chrII	141303	+	1
chrII	141360	+	3
chrII	141437	+	39
chrII	141438	+	2
chrII	141531	+	13
chrII	141533	+	1
chrII	141633	+	3
chrII	142388	-	1
chrII	142512	-	10
chrII	142537	-	2
chrII	142616	-	1
chrII	143090	+	39
chrII	143994	-	1
chrII	144161	-	2
chrII	144568	-	71
chrII	145528	-	4
chrII	145648	-	1
chrII	147692	+	1
chrII	150397	-	30
chrII	15839	-	2
chrII	158443	-	2
chrII	160193	+	1
chrII	160213	+	9
chrII	160336	+	2
chrII	160381	+	10
chrII	160463	+	20
chrII	160809	+	1
chrII	161292	+	1
chrII	162771	-	1
chrII	162820	-	4
chrII	163138	-	9
chrII	163151	-	1
chrII	163152	-	1
chrII	163153	-	54
chrII	163342	-	5
chrII	163835	-	34
chrII	163989	-	10
chrII	164076	-	1
chrII	164078	-	13
chrII	164118	-	1
chrII	167661	-	1
chrII	16800	-	2
chrII	168392	+	4
chrII	168407	+	1
chrII	168409	+	126
chrII	168415	+	1
